,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
127,penalty,Hi-sticking,Christian Jaros,Colin Blackwell,[-92. -25.],2,11:41,OTT,NSH,NSH,18,OTT,9,2,2,8478868,8476278.0,Christian Jaros Hi-sticking against Colin Blackwell
144,penalty,Interference,Jarred Tinordi,Brady Tkachuk,[21. 11.],2,09:17,NSH,OTT,NSH,18,OTT,9,3,2,8475797,8480801.0,Jarred Tinordi Interference against Brady Tkachuk
201,penalty,Boarding,Roman Josi,Thomas Chabot,[-81.  35.],3,16:38,NSH,OTT,NSH,18,OTT,9,3,2,8474600,8478469.0,Roman Josi Boarding against Thomas Chabot
10,penalty,Delaying Game - Puck over glass,Ron Hainsey,,[-75.  39.],1,16:37,OTT,VAN,OTT,9,VAN,23,0,0,8468493,,Ron Hainsey Delaying Game - Puck over glass
87,penalty,Fighting,Christopher Tanev,Bobby Ryan,[92. 25.],1,00:00,VAN,OTT,OTT,9,VAN,23,2,0,8475690,8471676.0,Christopher Tanev Fighting against Bobby Ryan
88,penalty,Fighting,Bobby Ryan,Christopher Tanev,[88. 31.],1,00:00,OTT,VAN,OTT,9,VAN,23,2,0,8471676,8475690.0,Bobby Ryan Fighting against Christopher Tanev
156,penalty,Tripping,J.T. Miller,Nick Paul,[17. -2.],2,07:57,VAN,OTT,OTT,9,VAN,23,2,0,8476468,8477426.0,J.T. Miller Tripping against Nick Paul
182,penalty,Holding,Artem Anisimov,Bo Horvat,[-73.  18.],2,01:02,OTT,VAN,OTT,9,VAN,23,2,0,8473573,8477500.0,Artem Anisimov Holding against Bo Horvat
4,penalty,Slashing,Sam Gagner,Nikita Zaitsev,[ 18. -15.],1,18:43,DET,OTT,OTT,9,DET,17,0,0,8474040,8479458.0,Sam Gagner Slashing against Nikita Zaitsev
70,penalty,Hooking,Nick Paul,Dmytro Timashov,[-24.  -5.],1,04:47,OTT,DET,OTT,9,DET,17,0,1,8477426,8478857.0,Nick Paul Hooking against Dmytro Timashov
137,penalty,Tripping,Jonathan Bernier,Robby Fabbri,[-89.  -6.],2,09:45,DET,OTT,OTT,9,DET,17,0,2,8473541,8477952.0,Jonathan Bernier Tripping against Mike Reilly served by Robby Fabbri
151,penalty,Hooking,Alex Biega,Artem Anisimov,[-81.   2.],2,07:29,DET,OTT,OTT,9,DET,17,0,2,8473415,8473573.0,Alex Biega Hooking against Artem Anisimov
176,penalty,Hi-sticking,Dylan Larkin,Thomas Chabot,[ 90. -31.],2,01:20,DET,OTT,OTT,9,DET,17,1,2,8477946,8478469.0,Dylan Larkin Hi-sticking against Thomas Chabot
217,penalty,Tripping,Nikita Zaitsev,Luke Glendening,[-28. -40.],3,12:33,OTT,DET,OTT,9,DET,17,3,2,8479458,8476822.0,Nikita Zaitsev Tripping against Luke Glendening
276,penalty,Tripping,Robby Fabbri,Thomas Chabot,[-71.  39.],4,02:34,DET,OTT,OTT,9,DET,17,3,3,8477952,8478469.0,Robby Fabbri Tripping against Thomas Chabot
20,penalty,Interference,Jack Johnson,Scott Sabourin,[-71.   1.],1,15:35,PIT,OTT,PIT,5,OTT,9,2,0,8471677,8477149.0,Jack Johnson Interference against Scott Sabourin
57,penalty,Holding the stick,Bobby Ryan,Evgeni Malkin,[99. -8.],1,06:42,OTT,PIT,PIT,5,OTT,9,2,0,8471676,8471215.0,Bobby Ryan Holding the stick against Evgeni Malkin
76,penalty,Hooking,Nikita Zaitsev,Evan Rodrigues,[ 82. -20.],1,01:50,OTT,PIT,PIT,5,OTT,9,2,1,8479458,8478542.0,Nikita Zaitsev Hooking against Evan Rodrigues
115,penalty,Hi stick - double minor,Chris Tierney,Sidney Crosby,[-89. -16.],2,14:04,OTT,PIT,PIT,5,OTT,9,3,1,8476919,8471675.0,Chris Tierney Hi stick - double minor against Sidney Crosby
