,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
165,penalty,Hi-sticking,Evan Rodrigues,Filip Hronek,[76.  0.],3,07:47,BUF,DET,BUF,7,DET,17,2,2,8478542,8479425.0,Evan Rodrigues Hi-sticking against Filip Hronek
126,penalty,Holding,Artemi Panarin,Colin Miller,[-90.  26.],2,09:39,NYR,BUF,NYR,3,BUF,7,0,1,8478550,8476525.0,Artemi Panarin Holding against Colin Miller
187,penalty,Holding,Henri Jokiharju,Mika Zibanejad,[-77.  -1.],3,16:42,BUF,NYR,NYR,3,BUF,7,0,2,8480035,8476459.0,Henri Jokiharju Holding against Mika Zibanejad
259,penalty,Hooking,Rasmus Ristolainen,Kaapo Kakko,[-81.  -5.],3,01:58,BUF,NYR,NYR,3,BUF,7,1,3,8477499,8481554.0,Rasmus Ristolainen Hooking against Kaapo Kakko
45,penalty,PS - Hooking on breakaway,Lawrence Pilut,Troy Terry,[-78.   5.],1,02:08,BUF,ANA,BUF,7,ANA,24,0,3,8480935,8478873.0,Lawrence Pilut PS - Hooking on breakaway against Troy Terry
96,penalty,Interference,Cam Fowler,Michael Frolik,[46.  5.],2,09:28,ANA,BUF,BUF,7,ANA,24,1,3,8475764,8473564.0,Cam Fowler Interference against Michael Frolik
113,penalty,Tripping,Scott Wilson,Korbinian Holzer,[-95. -26.],2,05:59,BUF,ANA,BUF,7,ANA,24,2,3,8476293,8473560.0,Scott Wilson Tripping against Korbinian Holzer
184,penalty,Hooking,Jakob Silfverberg,Rasmus Dahlin,[21. 30.],3,06:59,ANA,BUF,BUF,7,ANA,24,2,3,8475164,8480839.0,Jakob Silfverberg Hooking against Rasmus Dahlin
23,penalty,Too many men on the ice,Adam Erne,,[14. 41.],1,13:39,DET,BUF,BUF,7,DET,17,1,1,8477454,,Too many men/ice served by Adam Erne
51,penalty,Delaying Game - Illegal play by goalie,Carter Hutton,Marcus Johansson,[-92. -12.],1,06:41,BUF,DET,BUF,7,DET,17,1,1,8475622,8475149.0,Carter Hutton Delaying Game - Illegal play by goalie served by Marcus Johansson
77,penalty,PS - Slash on breakaway,Filip Hronek,Conor Sheary,[-83.   5.],2,18:28,DET,BUF,BUF,7,DET,17,1,1,8479425,8477839.0,Filip Hronek PS - Slash on breakaway against Conor Sheary
128,penalty,Tripping,Andreas Athanasiou,Brandon Montour,[-89.  21.],2,04:28,DET,BUF,BUF,7,DET,17,2,2,8476960,8477986.0,Andreas Athanasiou Tripping against Brandon Montour
136,penalty,Hi-sticking,Rasmus Dahlin,Valtteri Filppula,[-56.  26.],2,03:24,BUF,DET,BUF,7,DET,17,2,2,8480839,8470047.0,Rasmus Dahlin Hi-sticking against Valtteri Filppula
183,penalty,Hooking,Rasmus Ristolainen,Darren Helm,[-78.   5.],3,09:36,BUF,DET,BUF,7,DET,17,3,2,8477499,8471794.0,Rasmus Ristolainen Hooking against Darren Helm
202,penalty,Boarding,Filip Hronek,Marcus Johansson,[ 62. -42.],3,02:55,DET,BUF,BUF,7,DET,17,3,2,8479425,8475149.0,Filip Hronek Boarding against Marcus Johansson
143,penalty,Tripping,Nick Foligno,Kyle Okposo,[35. 24.],3,19:00,CBJ,BUF,BUF,7,CBJ,29,1,2,8473422,8473449.0,Nick Foligno Tripping against Kyle Okposo
161,penalty,Cross checking,Jake McCabe,Kyle Okposo,[-77.  22.],3,15:05,BUF,CBJ,BUF,7,CBJ,29,2,2,8476931,8473449.0,Jake McCabe Cross checking against Eric Robinson served by Kyle Okposo
162,penalty,Cross checking,Jake McCabe,Eric Robinson,[-78.  24.],3,15:05,BUF,CBJ,BUF,7,CBJ,29,2,2,8476931,8480762.0,Jake McCabe Cross checking against Eric Robinson
163,penalty,Interference - Goalkeeper,Eric Robinson,Carter Hutton,[-83.   3.],3,15:05,CBJ,BUF,BUF,7,CBJ,29,2,2,8480762,8475622.0,Eric Robinson Interference - Goalkeeper against Carter Hutton
137,penalty,Hooking,Travis Dermott,Curtis Lazar,[-81.   2.],2,06:31,TOR,BUF,BUF,7,TOR,10,2,1,8478408,8477508.0,Travis Dermott Hooking against Curtis Lazar
155,penalty,Tripping,Jake Muzzin,Jack Eichel,[-92.  22.],2,01:23,TOR,BUF,BUF,7,TOR,10,2,1,8474162,8478403.0,Jake Muzzin Tripping against Jack Eichel
178,penalty,Tripping,Jake Muzzin,Jimmy Vesey,[74. -1.],3,14:48,TOR,BUF,BUF,7,TOR,10,2,2,8474162,8476918.0,Jake Muzzin Tripping against Jimmy Vesey
215,penalty,Roughing,Rasmus Ristolainen,Zach Hyman,[-79.   5.],3,03:18,BUF,TOR,BUF,7,TOR,10,5,2,8477499,8475786.0,Rasmus Ristolainen Roughing against Zach Hyman
56,penalty,Hooking,Ron Hainsey,Marcus Johansson,[-64.   3.],1,07:55,OTT,BUF,OTT,9,BUF,7,0,2,8468493,8475149.0,Ron Hainsey Hooking against Marcus Johansson
74,penalty,Slashing,Jeff Skinner,Thomas Chabot,[-95.   9.],1,04:15,BUF,OTT,OTT,9,BUF,7,3,2,8475784,8478469.0,Jeff Skinner Slashing against Thomas Chabot
161,penalty,Too many men on the ice,Brady Tkachuk,,[-18.  40.],2,07:06,OTT,BUF,OTT,9,BUF,7,5,3,8480801,,Too many men/ice served by Brady Tkachuk
174,penalty,Hooking,Mike Reilly,Jeff Skinner,[39. 26.],2,03:55,OTT,BUF,OTT,9,BUF,7,5,4,8476422,8475784.0,Mike Reilly Hooking against Jeff Skinner
