"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS/60","NZS/60","DZS/60","OTF/60","OZF/60","NZF/60","DZF/60","Ice_F/60","Ice_A/60"
"Erik Christensen","ERIK.CHRISTENSEN","10-11","NYR","C","L",1983-12-17,26,60,133.3,2.22,36.53,34.66,6.3,2.25,22.51,49.51,10.8,4.5,0.9,0
"Erik Cole","ERIK.COLE","07-08","CAR","L","L",1978-11-06,28,73,285.2,3.91,49.93,26.3,12.83,2.1,21.04,43.55,18.3,3.37,0.21,0
"Erik Cole","ERIK.COLE","08-09","EDM","L","L",1978-11-06,29,63,153.77,2.44,35.98,30.83,8.19,0,24.97,47.6,12.1,0.78,0,0
"Erik Cole","ERIK.COLE","09-10","CAR","L","L",1978-11-06,30,39,70.55,1.81,26.75,34.87,11.06,1.7,32.32,51.03,16.16,2.55,0.85,0
"Erik Cole","ERIK.COLE","10-11","CAR","L","L",1978-11-06,31,81,207.22,2.56,39.35,27.8,9.27,2.03,33.3,44.3,13.03,4.05,1.45,0
"Erik Cole","ERIK.COLE","11-12","MTL","L","L",1978-11-06,32,82,251.87,3.07,52.45,33.83,5.96,0.48,19.77,59.32,10.24,2.38,0.48,0
"Erik Cole","ERIK.COLE","12-13","DAL","L","L",1978-11-06,33,27,76.4,2.83,47.98,25.13,7.07,0.79,23.56,45.55,11.78,3.93,0.79,0
"Erik Cole","ERIK.COLE","12-13","MTL","L","L",1978-11-06,33,19,50.88,2.68,38.68,34.2,5.9,3.54,29.48,56.6,10.61,3.54,0,0
"Erik Cole","ERIK.COLE","13-14","DAL","L","L",1978-11-06,34,74,178.52,2.41,40.43,28.9,6.72,2.02,23.53,51.76,10.76,3.7,0.34,0
"Erik Cole","ERIK.COLE","14-15","DAL","L","L",1978-11-06,35,56,98.23,1.75,31.78,18.32,8.55,5.5,44.59,25.65,12.83,7.33,1.22,0
"Erik Gudbranson","ERIK.GUDBRANSON","13-14","FLA","D","R",1992-01-07,21,65,55.78,0.86,14.87,23.66,8.61,1.08,52.71,44.1,15.06,3.23,1.08,0
"Erik Gudbranson","ERIK.GUDBRANSON","14-15","FLA","D","R",1992-01-07,22,76,65.37,0.86,17.56,29.37,8.26,4.59,44.97,43.14,13.77,6.42,0,0
"Erik Gustafsson (D)","ERIK.GUSTAFSSON2","15-16","CHI","D","L",1992-03-14,23,41,68.82,1.68,34.44,20.92,10.46,1.74,40.1,35.75,11.33,4.36,0,0
"Erik Gustafsson (D)","ERIK.GUSTAFSSON2","18-19","CHI","D","L",1992-03-14,26,77,226.57,2.94,61.9,21.19,3.97,0.53,13.77,47.93,7.41,3.44,1.85,0
"Erik Gustafsson (D)","ERIK.GUSTAFSSON2","19-20","CHI","D","L",1992-03-14,27,58,152.37,2.63,52.88,28.75,4.33,0,15.36,55.52,8.27,2.36,0,0
"Erik Haula","ERIK.HAULA","17-18","VGK","L","L",1991-03-23,26,74,174.73,2.36,49.2,29.19,3.78,0.69,24.38,47.73,7.9,1.37,0.34,0
"Erik Haula","ERIK.HAULA","19-20","CAR","L","L",1991-03-23,28,41,99.15,2.42,51.97,31.47,4.84,0,12.1,61.12,9.08,0,0,0
"Erik Johnson","ERIK.JOHNSON","07-08","STL","D","R",1988-03-21,19,68,237.2,3.49,57.05,20.49,14.17,1.26,16.69,36.68,21.25,3.29,1.26,0
"Erik Johnson","ERIK.JOHNSON","09-10","STL","D","R",1988-03-21,21,79,245.42,3.11,51.86,25.67,7.33,0.98,23.96,50.61,12.22,2.93,0.24,0
"Erik Johnson","ERIK.JOHNSON","10-11","COL","D","R",1988-03-21,22,21,64.55,3.07,67.08,33.46,5.58,0.93,6.51,61.35,12.08,1.86,0,0
"Erik Johnson","ERIK.JOHNSON","10-11","STL","D","R",1988-03-21,22,55,131.97,2.4,41.99,15,7.27,2.27,39.1,34.55,10.46,4.09,0.45,0
"Erik Johnson","ERIK.JOHNSON","11-12","COL","D","R",1988-03-21,23,66,163.27,2.47,53.09,28.66,7.72,1.84,16.54,51.45,11.76,2.57,0,0
"Erik Johnson","ERIK.JOHNSON","12-13","COL","D","R",1988-03-21,24,31,56.02,1.81,38.86,26.78,7.5,0,34.27,49.27,12.85,0,0,0
"Erik Johnson","ERIK.JOHNSON","13-14","COL","D","R",1988-03-21,25,77,200.67,2.61,51.74,25.71,5.38,0.9,21.53,48.14,10.17,2.39,0.6,0
"Erik Johnson","ERIK.JOHNSON","14-15","COL","D","R",1988-03-21,26,46,117.58,2.56,49.5,26.54,5.1,1.53,20.92,54.6,10.72,3.06,0.51,0
"Erik Johnson","ERIK.JOHNSON","15-16","COL","D","R",1988-03-21,27,71,138.87,1.96,37.61,25.06,6.05,3.89,40.61,41.91,10.37,4.75,0.86,0
"Erik Johnson","ERIK.JOHNSON","16-17","COL","D","R",1988-03-21,28,45,94.32,2.1,42.75,26.08,3.82,1.27,39.44,40.08,5.73,5.73,1.27,0
"Erik Johnson","ERIK.JOHNSON","17-18","COL","D","R",1988-03-21,29,61,106.18,1.74,28.16,28.82,10.17,2.26,41.25,43.51,16.39,3.39,0,0
"Erik Karlsson","ERIK.KARLSSON","09-10","OTT","D","R",1990-05-31,19,59,195.17,3.31,54.48,25.82,5.84,1.54,14.45,45.81,11.07,3.07,0,0
"Erik Karlsson","ERIK.KARLSSON","10-11","OTT","D","R",1990-05-31,20,75,263.77,3.52,69.89,26.39,5,0,4.78,47.54,10.01,0.91,0.45,0
"Erik Karlsson","ERIK.KARLSSON","11-12","OTT","D","R",1990-05-31,21,80,293.42,3.67,71.05,26.38,5.93,0.61,9.61,50.51,13.09,2.04,0.41,0
"Erik Karlsson","ERIK.KARLSSON","12-13","OTT","D","R",1990-05-31,22,17,73.63,4.33,75.34,21.19,3.26,0.81,4.89,58.67,11.41,3.26,0,0
"Erik Karlsson","ERIK.KARLSSON","13-14","OTT","D","R",1990-05-31,23,82,319.9,3.9,75.55,23.82,3.38,0,6.75,51.95,9.94,3.19,1.31,0
"Erik Karlsson","ERIK.KARLSSON","14-15","OTT","D","R",1990-05-31,24,82,378.05,4.61,82.75,18.41,4.76,0.48,3.33,49.99,12.7,2.7,1.43,0
"Erik Karlsson","ERIK.KARLSSON","15-16","OTT","D","R",1990-05-31,25,80,362.55,4.53,92.37,17.38,4.8,0.17,1.99,49.48,12.58,2.65,1.16,0
"Erik Karlsson","ERIK.KARLSSON","16-17","OTT","D","R",1990-05-31,26,77,263.18,3.42,71.71,28.73,4.33,0.91,5.93,62.69,8.89,3.88,0.46,0
"Erik Karlsson","ERIK.KARLSSON","17-18","OTT","D","R",1990-05-31,27,71,220.92,3.11,65.53,29.06,6.79,0.27,6.25,57.31,10.05,1.36,0.54,0
"Erik Karlsson","ERIK.KARLSSON","18-19","S.J","D","R",1990-05-31,28,52,155.52,2.99,65.9,25.85,5.79,1.16,9.26,55.17,11.19,3.09,0.39,0.39
"Erik Karlsson","ERIK.KARLSSON","19-20","S.J","D","R",1990-05-31,29,55,156.38,2.84,66.61,27.24,5.76,0.38,9.98,57.94,11.13,2.69,1.53,0
"Esa Lindell","ESA.LINDELL","16-17","DAL","D","L",1994-05-23,22,72,72.1,1,21.01,28.29,12.48,3.33,39.94,49.1,14.15,5.83,2.5,0
"Esa Lindell","ESA.LINDELL","17-18","DAL","D","L",1994-05-23,23,76,125.83,1.66,34.64,17.17,9.54,3.34,45.3,34.33,14.31,5.25,0.95,0
"Esa Lindell","ESA.LINDELL","18-19","DAL","D","L",1994-05-23,24,80,94.4,1.18,27.85,17.8,7.63,3.18,62.29,25.42,12.08,6.36,1.27,0
"Esa Lindell","ESA.LINDELL","19-20","DAL","D","L",1994-05-23,25,65,75.53,1.16,24.1,27.8,4.77,1.59,58.78,46.87,11.92,7.94,5.56,0
"Ethan Bear","ETHAN.BEAR","19-20","EDM","D","R",1997-06-26,22,70,53.2,0.76,17.39,20.3,15.79,6.77,73.31,32.71,22.56,10.15,1.13,0
"Evan Rodrigues","EVAN.RODRIGUES","17-18","BUF","C","R",1993-07-28,24,46,99.35,2.16,40.14,26.57,7.85,0.6,23.55,47.71,9.66,3.02,1.21,0
"Evan Rodrigues","EVAN.RODRIGUES","18-19","BUF","C","R",1993-07-28,25,73,97.5,1.34,27.88,28.31,6.77,0,39.38,41.23,12.31,0.62,0.62,0
"Evander Kane","EVANDER.KANE","10-11","ATL","L","L",1991-08-02,19,72,164.08,2.28,41.75,20.11,9.51,1.46,40.59,30.72,16.82,3.29,0.73,0
"Evander Kane","EVANDER.KANE","11-12","WPG","L","L",1991-08-02,20,72,156.12,2.17,44.43,24.21,5.76,0.77,26.52,46.5,11.53,2.69,0.77,0
"Evander Kane","EVANDER.KANE","12-13","WPG","L","L",1991-08-02,21,47,108.1,2.3,47.15,18.87,6.66,1.11,27.2,42.74,12.77,2.78,1.11,0
"Evander Kane","EVANDER.KANE","13-14","WPG","L","L",1991-08-02,22,62,134.72,2.17,45.21,25.39,7.13,2.23,28.06,48.55,11.58,4.45,1.78,0
"Evander Kane","EVANDER.KANE","14-15","WPG","L","L",1991-08-02,23,34,74.78,2.2,41.1,28.08,4.81,6.42,30.49,39.32,14.44,8.83,1.6,0
"Evander Kane","EVANDER.KANE","15-16","BUF","L","L",1991-08-02,24,64,153.4,2.4,45.29,24.64,7.82,0.39,31.68,45.37,14.47,3.91,0.78,0.39
"Evander Kane","EVANDER.KANE","16-17","BUF","L","L",1991-08-02,25,67,122.7,1.83,39.12,23.47,6.36,2.93,37.16,39.61,11.25,5.38,1.47,0
"Evander Kane","EVANDER.KANE","17-18","BUF","L","L",1991-08-02,26,60,139.45,2.32,43.91,24.96,10.76,0.86,23.23,48.62,16.78,3.44,2.15,0
"Evander Kane","EVANDER.KANE","17-18","S.J","L","L",1991-08-02,26,17,51.22,3.01,62.26,36.31,7.03,0,7.03,62.09,12.89,1.17,1.17,0
"Evander Kane","EVANDER.KANE","18-19","S.J","L","L",1991-08-02,27,74,140.52,1.9,39.41,15.8,7.26,1.71,46.97,29.46,11.1,2.99,0,0
"Evander Kane","EVANDER.KANE","19-20","S.J","L","L",1991-08-02,28,63,165.8,2.63,63.85,34.38,7.6,0,6.15,62.97,10.13,2.53,1.81,0
"Evgeni Malkin","EVGENI.MALKIN","07-08","PIT","C","L",1986-07-31,21,82,391.02,4.77,64.81,22.4,9.21,1.23,8.9,44.96,16.73,3.99,0.15,0
"Evgeni Malkin","EVGENI.MALKIN","08-09","PIT","C","L",1986-07-31,22,82,411.62,5.02,76.98,24.49,3.79,0.15,2.33,54.81,8.6,2.77,0.58,0.15
"Evgeni Malkin","EVGENI.MALKIN","09-10","PIT","C","L",1986-07-31,23,66,304.43,4.61,75.53,25.03,2.96,0.2,2.96,53.41,9.46,2.17,0.39,0
"Evgeni Malkin","EVGENI.MALKIN","10-11","PIT","C","L",1986-07-31,24,43,211.27,4.91,77.31,20.73,3.69,0.57,3.69,50.27,11.36,3.69,0.85,0
"Evgeni Malkin","EVGENI.MALKIN","11-12","PIT","C","L",1986-07-31,25,73,306.45,4.2,79.16,20.56,4.7,0.39,3.52,54.43,13.31,1.96,0.39,0
"Evgeni Malkin","EVGENI.MALKIN","12-13","PIT","C","L",1986-07-31,26,30,128.7,4.29,79.86,26.11,5.13,0,2.33,55.01,13.05,1.86,0.47,0
"Evgeni Malkin","EVGENI.MALKIN","13-14","PIT","C","L",1986-07-31,27,60,264.98,4.42,82.18,26.72,2.72,0.45,2.94,59.55,8.38,3.4,0.91,0
"Evgeni Malkin","EVGENI.MALKIN","14-15","PIT","C","L",1986-07-31,28,66,239.67,3.63,66.6,28.54,3.25,1,6.51,55.58,7.51,2.5,1,0
"Evgeni Malkin","EVGENI.MALKIN","15-16","PIT","C","L",1986-07-31,29,57,199.37,3.5,67.2,31.6,3.31,0.9,4.51,60.49,6.92,2.71,0.6,0
"Evgeni Malkin","EVGENI.MALKIN","16-17","PIT","C","L",1986-07-31,30,60,218.1,3.63,70.09,31.36,4.95,0.55,4.95,61.35,10.45,3.3,1.1,0
"Evgeni Malkin","EVGENI.MALKIN","17-18","PIT","C","L",1986-07-31,31,77,280.07,3.64,72.8,29.35,4.07,0,3.64,58.49,8.78,3,1.29,0
"Evgeni Malkin","EVGENI.MALKIN","18-19","PIT","C","L",1986-07-31,32,67,219.33,3.27,70.8,32.83,3.56,0,3.83,59.64,10.12,1.37,0.55,0
"Evgeni Malkin","EVGENI.MALKIN","19-20","PIT","C","L",1986-07-31,33,55,190.17,3.46,69.88,27.13,5.68,0.32,5.68,58.68,8.2,0.95,0.32,0
"Evgeny Dadonov","EVGENY.DADONOV","17-18","FLA","R","L",1989-03-12,28,72,238.13,3.31,63.82,29.23,8.31,1.01,8.82,56.19,12.85,2.77,0.76,0
"Evgeny Dadonov","EVGENY.DADONOV","18-19","FLA","R","L",1989-03-12,29,82,268.42,3.27,63.77,33.08,6.26,0.45,6.93,57.67,10.06,1.56,0.45,0
"Evgeny Dadonov","EVGENY.DADONOV","19-20","FLA","R","L",1989-03-12,30,69,228.85,3.32,67.14,29.89,5.77,0.79,4.98,61.87,9.44,1.84,0.79,0
"Evgeny Kuznetsov","EVGENY.KUZNETSOV","14-15","WSH","C","L",1992-05-19,22,78,108.68,1.39,31.03,24.84,6.62,2.76,48.58,40.3,14.35,4.97,1.66,0.55
"Evgeny Kuznetsov","EVGENY.KUZNETSOV","15-16","WSH","C","L",1992-05-19,23,80,173.9,2.17,44.99,27.6,5.52,0.69,29.67,44.85,11.39,5.18,1.73,0
"Evgeny Kuznetsov","EVGENY.KUZNETSOV","16-17","WSH","C","L",1992-05-19,24,80,161.23,2.02,41.13,24.93,4.09,2.23,33.86,41.31,8.19,4.84,0.74,0.37
"Evgeny Kuznetsov","EVGENY.KUZNETSOV","17-18","WSH","C","L",1992-05-19,25,76,264.12,3.48,71.73,27.49,4.09,0,2.5,55.66,8.41,2.73,2.27,0
"Evgeny Kuznetsov","EVGENY.KUZNETSOV","18-19","WSH","C","L",1992-05-19,26,75,273.55,3.65,73.75,26.54,2.63,0.22,4.17,57.25,8.33,1.75,1.32,0
"Evgeny Kuznetsov","EVGENY.KUZNETSOV","19-20","WSH","C","L",1992-05-19,27,62,189.58,3.06,60.93,28.48,3.48,0.32,12.66,55.07,6.96,4.43,2.53,0
"Evgeny Medvedev","EVGENY.MEDVEDEV","15-16","PHI","D","L",1982-08-27,33,45,79.48,1.77,32.94,22.65,6.04,5.28,43.78,30.2,11.32,6.79,0.75,0
"Fabian Brunnstrom","FABIAN.BRUNNSTROM","08-09","DAL","L","L",1985-02-06,23,55,102.62,1.87,27.9,27.48,4.68,0.58,35.67,40.34,12.86,1.17,0,0
"Fedor Tyutin","FEDOR.TYUTIN","07-08","NYR","D","L",1983-07-19,24,82,178.5,2.18,32.45,21.51,11.76,2.35,31.26,43.36,18.49,4.71,1.01,0.34
"Fedor Tyutin","FEDOR.TYUTIN","08-09","CBJ","D","L",1983-07-19,25,79,293.27,3.71,58.75,25.98,7.16,0.61,15.34,50.12,12.89,2.05,0.2,0.2
"Fedor Tyutin","FEDOR.TYUTIN","09-10","CBJ","D","L",1983-07-19,26,78,267.47,3.43,59.05,31.41,6.73,0.45,12.11,54.06,10.99,1.35,0.45,0
"Fedor Tyutin","FEDOR.TYUTIN","10-11","CBJ","D","L",1983-07-19,27,78,228.15,2.93,51.03,24.98,6.05,1.05,21.3,47.6,11.05,1.84,0.26,0
"Fedor Tyutin","FEDOR.TYUTIN","11-12","CBJ","D","L",1983-07-19,28,65,216.77,3.33,52.84,29.89,6.92,1.66,16.33,61.17,11.07,2.77,0.83,0
"Fedor Tyutin","FEDOR.TYUTIN","12-13","CBJ","D","L",1983-07-19,29,48,127.05,2.65,50.76,27.86,7.08,1.42,15.58,42.98,14.64,3.78,0.47,0
"Fedor Tyutin","FEDOR.TYUTIN","13-14","CBJ","D","L",1983-07-19,30,65,107.13,1.65,28.44,25.2,9.52,2.24,39.76,41.44,15.12,3.92,0.56,0
"Fernando Pisani","FERNANDO.PISANI","07-08","EDM","R","L",1976-12-27,30,56,96.07,1.72,27.08,23.73,14.99,1.87,39.97,37.47,20.61,4.37,1.87,0
"Filip Chytil","FILIP.CHYTIL","18-19","NYR","C","L",1999-09-05,19,74,108.53,1.47,32.41,25.43,4.42,1.11,38.7,39.8,6.63,2.21,0.55,0
"Filip Chytil","FILIP.CHYTIL","19-20","NYR","C","L",1999-09-05,20,59,76.62,1.3,25.76,24.28,3.13,3.13,56.38,31.32,7.05,3.92,0.78,0
"Filip Forsberg","FILIP.FORSBERG","14-15","NSH","C/L","R",1994-08-13,20,81,220.07,2.72,50.62,29.99,6,1.64,19.08,49.89,12.27,4.36,1.36,0
"Filip Forsberg","FILIP.FORSBERG","15-16","NSH","L","R",1994-08-13,21,82,203.67,2.48,49.15,33.88,4.12,0.88,19.74,53.62,7.66,2.95,0.59,0.29
"Filip Forsberg","FILIP.FORSBERG","16-17","NSH","L","R",1994-08-13,22,81,199.9,2.47,48.84,35.42,4.5,0.6,17.71,55.53,7.8,3.3,1.2,0
"Filip Forsberg","FILIP.FORSBERG","17-18","NSH","L","R",1994-08-13,23,64,174.98,2.73,50,33.95,6.52,1.03,15.43,48.69,10.63,2.4,0.69,0.34
"Filip Forsberg","FILIP.FORSBERG","18-19","NSH","L","R",1994-08-13,24,63,177.3,2.81,53.16,24.03,7.78,0.68,19.63,43.99,9.81,1.35,0,0
"Filip Forsberg","FILIP.FORSBERG","19-20","NSH","L","R",1994-08-13,25,62,162.55,2.62,52.96,34.7,4.8,0,9.97,60.54,8.12,0.74,0,0
"Filip Hronek","FILIP.HRONEK","18-19","DET","D","R",1997-11-02,20,46,74.95,1.63,39.34,24.02,6.4,1.6,36.02,40.03,9.61,4,2.4,0
"Filip Hronek","FILIP.HRONEK","19-20","DET","D","R",1997-11-02,21,62,171.25,2.76,52.65,26.98,5.96,1.05,16.12,48.35,10.16,4.55,1.4,0
"Filip Kuba","FILIP.KUBA","07-08","T.B","D","L",1976-12-29,30,74,267.93,3.62,64.04,21.27,12.76,0.22,8.29,42.32,22.17,2.24,1.12,0
"Filip Kuba","FILIP.KUBA","08-09","OTT","D","L",1976-12-29,31,71,297.08,4.18,66.39,27.67,5.66,0.61,9.29,53.32,11.31,1.62,0.2,0
"Filip Kuba","FILIP.KUBA","09-10","OTT","D","L",1976-12-29,32,51,172.6,3.38,62.12,33.37,5.21,0,4.52,61.88,9.73,2.09,0.35,0
"Filip Kuba","FILIP.KUBA","10-11","OTT","D","L",1976-12-29,33,64,135.37,2.12,43.28,24.38,8.86,1.77,22.16,44.32,14.63,3.55,0.44,0
"Filip Kuba","FILIP.KUBA","11-12","OTT","D","L",1976-12-29,34,72,143.75,2,39.82,32.97,8.35,3.34,21.7,48.42,15.86,4.17,0,0
"Filip Kuba","FILIP.KUBA","12-13","FLA","D","L",1976-12-29,35,43,70.38,1.64,35.04,30.69,5.12,3.41,41.77,41.77,9.38,5.12,0,0.85
"Filip Zadina","FILIP.ZADINA","19-20","DET","R","L",1999-11-27,19,26,66.68,2.56,48.34,36.89,6.3,0.9,17.1,47.69,8.1,1.8,0.9,0
"Francis Bouillon","FRANCIS.BOUILLON","09-10","NSH","D","L",1975-10-17,33,80,115.22,1.44,25.41,23.95,6.77,3.12,36.97,35.93,12.5,3.65,0,0
"Francis Bouillon","FRANCIS.BOUILLON","10-11","NSH","D","L",1975-10-17,34,42,55.25,1.32,23.43,22.81,9.77,4.34,39.1,39.1,15.2,4.34,0,0
"Francis Bouillon","FRANCIS.BOUILLON","12-13","MTL","D","L",1975-10-17,36,48,73.47,1.53,23.94,10.62,7.35,4.08,66.15,21.23,13.07,4.9,0.82,0
"Francis Bouillon","FRANCIS.BOUILLON","13-14","MTL","D","L",1975-10-17,37,51,66.6,1.31,21.82,16.22,7.21,0,74.77,28.83,14.41,1.8,0,0
"Francois Beauchemin","FRANCOIS.BEAUCHEMIN","07-08","ANA","D","L",1980-06-04,27,81,221.1,2.73,41.87,12.48,10.58,1.63,33.65,29.58,22.8,3.53,0,0
"Francois Beauchemin","FRANCOIS.BEAUCHEMIN","09-10","TOR","D","L",1980-06-04,29,81,238.87,2.95,47.77,19.84,5.78,0.75,27.63,41.7,13.82,3.01,1,0
"Francois Beauchemin","FRANCOIS.BEAUCHEMIN","10-11","TOR","D","L",1980-06-04,30,54,93.1,1.72,28.05,18.69,5.16,3.87,55.42,33.51,14.18,5.16,0,0
"Francois Beauchemin","FRANCOIS.BEAUCHEMIN","11-12","ANA","D","L",1980-06-04,31,81,120.47,1.49,28.6,25.4,8.47,2.49,53.79,39.35,13.95,3.98,0.5,0
"Francois Beauchemin","FRANCOIS.BEAUCHEMIN","12-13","ANA","D","L",1980-06-04,32,47,102.08,2.17,50.52,28.21,7.64,1.18,24.69,53.49,10.58,2.35,0.59,0
"Francois Beauchemin","FRANCOIS.BEAUCHEMIN","13-14","ANA","D","L",1980-06-04,33,70,111.52,1.59,28.72,22.6,9.68,3.23,42.5,39.28,15.6,7.53,3.23,0
"Francois Beauchemin","FRANCOIS.BEAUCHEMIN","14-15","ANA","D","L",1980-06-04,34,60,93.97,1.57,32.99,36.39,8.94,2.55,33.84,57.47,17.24,5.11,1.28,0
"Francois Beauchemin","FRANCOIS.BEAUCHEMIN","15-16","COL","D","L",1980-06-04,35,80,164.1,2.05,40.01,25.59,5.48,2.93,35.83,43.51,10.24,4.39,0.73,0
"Francois Beauchemin","FRANCOIS.BEAUCHEMIN","16-17","COL","D","L",1980-06-04,36,77,83.95,1.09,21.91,24.3,9.29,2.14,49.32,40.02,13.58,7.15,2.14,0
"Frank Vatrano","FRANK.VATRANO","16-17","BOS","C","L",1994-03-14,22,43,76.1,1.77,36.25,24.44,8.67,1.58,37.06,40.21,13.4,2.37,0.79,0
"Frank Vatrano","FRANK.VATRANO","18-19","FLA","C","L",1994-03-14,24,81,133.27,1.65,32.39,22.51,10.35,3.15,48.62,34.67,15.76,3.6,0.45,0
"Frank Vatrano","FRANK.VATRANO","19-20","FLA","C","L",1994-03-14,25,69,101.07,1.46,29.65,19.59,4.75,1.78,56.4,27.9,10.09,4.16,1.78,0.59
"Frans Nielsen","FRANS.NIELSEN","08-09","NYI","C","L",1984-04-24,24,59,182.33,3.09,51.25,35.54,4.94,1.65,14.15,59.23,8.88,2.63,0,0
"Frans Nielsen","FRANS.NIELSEN","09-10","NYI","C","L",1984-04-24,25,73,215.65,2.95,46.01,34.78,5.01,1.67,21.42,51.75,8.63,3.34,0.56,0
"Frans Nielsen","FRANS.NIELSEN","10-11","NYI","C","L",1984-04-24,26,71,172.72,2.43,41.44,30.92,6.6,2.43,25.71,43.08,11.81,4.17,0,0
"Frans Nielsen","FRANS.NIELSEN","11-12","NYI","C","L",1984-04-24,27,78,199.95,2.56,51.73,37.51,6,0,11.7,59.11,10.5,1.5,0,0
"Frans Nielsen","FRANS.NIELSEN","12-13","NYI","C","L",1984-04-24,28,45,92.03,2.05,40.8,31.29,7.17,1.96,30.64,46.94,10.43,4.56,1.96,0.65
"Frans Nielsen","FRANS.NIELSEN","13-14","NYI","C","L",1984-04-24,29,79,254.78,3.23,61.05,35.32,6.36,0.24,7.06,55.11,10.83,0.94,0.47,0
"Frans Nielsen","FRANS.NIELSEN","14-15","NYI","C","L",1984-04-24,30,78,214.12,2.75,53.9,40.63,5.32,0,9.25,59.41,9.81,0.28,0,0
"Frans Nielsen","FRANS.NIELSEN","15-16","NYI","C","L",1984-04-24,31,78,212.25,2.72,59.35,38.45,5.94,0.28,4.81,64.17,9.61,1.7,0.28,0
"Frans Nielsen","FRANS.NIELSEN","16-17","DET","C","L",1984-04-24,32,76,181.23,2.38,46.68,40.06,6.29,1.32,16.22,55.95,9.27,2.32,0.99,0
"Frans Nielsen","FRANS.NIELSEN","17-18","DET","C","L",1984-04-24,33,78,63.67,0.82,18.2,38.64,8.48,3.77,33.92,55.6,10.37,4.71,0,0
"Frans Nielsen","FRANS.NIELSEN","18-19","DET","C","L",1984-04-24,34,70,155.22,2.22,49.56,36.72,6.57,0.77,19.33,50.64,12.37,2.71,1.55,0
"Frans Nielsen","FRANS.NIELSEN","19-20","DET","C","L",1984-04-24,35,57,61.52,1.08,19.93,26.33,8.78,4.88,39.99,34.14,8.78,6.83,0.98,0
"Frantisek Kaberle","FRANTISEK.KABERLE","07-08","CAR","D","L",1973-11-08,33,80,214.43,2.68,34.46,21.27,15.67,1.96,31.62,33.58,21.83,3.92,1.12,0
"Freddy Meyer","FREDDY.MEYER","07-08","NYI","D","L",1981-01-04,26,52,68.7,1.32,22.57,14.85,15.72,3.49,48.91,23.58,25.33,5.24,0.87,0
"Fredrik Modin","FREDRIK.MODIN","07-08","CBJ","L","L",1974-10-08,32,23,67.13,2.92,42.79,25.92,19.66,0,30.39,33.96,28.6,0.89,0,0
"Fredrik Modin","FREDRIK.MODIN","08-09","CBJ","L","L",1974-10-08,33,49,135.38,2.76,42.25,35.01,7.98,0.44,29.25,53.18,13.3,1.33,0.44,0.44
"Fredrik Sjostrom","FREDRIK.SJOSTROM","07-08","ARI","R","L",1983-05-06,24,50,50.18,1,15.38,32.28,14.35,3.59,27.5,43.05,15.54,5.98,0,0
"Gabriel Landeskog","GABRIEL.LANDESKOG","11-12","COL","L","L",1992-11-23,18,74,170.37,2.3,48.8,36.27,7.04,1.41,17.96,52.12,10.21,2.47,0.35,0
"Gabriel Landeskog","GABRIEL.LANDESKOG","12-13","COL","L","L",1992-11-23,19,36,83.82,2.33,51.18,27.2,6.44,1.43,22.91,51.54,9.31,4.29,0.72,0
"Gabriel Landeskog","GABRIEL.LANDESKOG","13-14","COL","L","L",1992-11-23,20,78,183.05,2.35,46.85,26.22,5.9,2.95,27.53,46.87,9.51,4.92,0,0
"Gabriel Landeskog","GABRIEL.LANDESKOG","14-15","COL","L","L",1992-11-23,21,81,185.05,2.28,47.98,25.94,6.81,1.95,19.13,51.55,11.67,3.24,0.65,0
"Gabriel Landeskog","GABRIEL.LANDESKOG","15-16","COL","L","L",1992-11-23,22,73,193.1,2.65,51.65,29.52,5.28,1.55,15.85,56.55,7.77,2.8,0.31,0
"Gabriel Landeskog","GABRIEL.LANDESKOG","16-17","COL","L","L",1992-11-23,23,68,156.12,2.3,45.19,30.36,3.46,1.54,26.13,47.27,8.84,4.23,1.54,0
"Gabriel Landeskog","GABRIEL.LANDESKOG","17-18","COL","L","L",1992-11-23,24,77,271.72,3.53,60.56,31.8,7.07,0.44,10.82,53.22,12.59,1.77,0.22,0
"Gabriel Landeskog","GABRIEL.LANDESKOG","18-19","COL","L","L",1992-11-23,25,73,284.6,3.9,68.58,27.2,6.32,0.42,4.22,54.18,9.28,1.48,0.21,0
"Gabriel Landeskog","GABRIEL.LANDESKOG","19-20","COL","L","L",1992-11-23,26,54,195.02,3.61,70.26,30.46,3.69,0,5.54,56.3,6.77,2.77,0.92,0
"Gary Roberts","GARY.ROBERTS","07-08","PIT","L","L",1966-05-23,41,38,85.43,2.25,28.42,24.58,8.43,4.21,42.84,33.01,16.15,4.92,0,0
"Gilbert Brule","GILBERT.BRULE","09-10","EDM","C","R",1987-01-01,22,64,88.48,1.38,23.54,31.87,8.14,0.68,38.65,46.11,12.21,4.75,0.68,0
"Gilbert Brule","GILBERT.BRULE","10-11","EDM","C","R",1987-01-01,23,41,51.22,1.25,21.8,28.11,10.54,3.51,39.83,44.51,14.06,5.86,1.17,0
"Glen Metropolit","GLEN.METROPOLIT","09-10","MTL","C","R",1974-06-25,35,68,119.85,1.76,37.2,33.04,6.01,1.5,36.55,42.55,10.01,2,0,0
