"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"David Clarkson","DAVID.CLARKSON","12-13","N.J","R","R",1984-03-31,28,48,155.68,79.01,87.76,88.43,89.34,84.31,12.65,3.36,156.52,21.82,206.75,27.04,271.37,32.39,17.04,3.17,9.29,134.7,179.71,238.98,13.87,8.08,84.6
"David Clarkson","DAVID.CLARKSON","13-14","TOR","R","R",1984-03-31,29,59,60.72,73.81,68.94,74.39,80.72,83.82,2.79,0.99,33.85,15.25,53.33,18.36,80.99,19.34,4.92,0.95,1.8,18.6,34.97,61.65,3.97,8.24,93.51
"David Clarkson","DAVID.CLARKSON","14-15","TOR","R","R",1984-03-31,30,58,111.9,53.24,81.33,83.22,84.84,82.03,5.91,5.19,81.48,18.71,110.57,22.3,145.34,25.98,10.27,2.25,0.72,62.77,88.27,119.36,8.02,7.25,72.26
"David Desharnais","DAVID.DESHARNAIS","10-11","MTL","C","L",1986-09-14,24,43,78.72,92.25,81.24,79.73,79.05,84.01,11.79,0.99,58.49,13.51,76.72,19.5,104.55,27.7,7.04,1.34,10.8,44.98,57.22,76.85,5.7,20.16,92.67
"David Desharnais","DAVID.DESHARNAIS","11-12","MTL","C","L",1986-09-14,25,81,254.8,85.56,81.8,83.25,85.27,82.88,23.47,3.96,207.24,46.11,293.91,59.12,402.55,69.52,26.38,5.45,19.51,161.13,234.79,333.03,20.93,11.33,91.41
"David Desharnais","DAVID.DESHARNAIS","12-13","MTL","C","L",1986-09-14,26,48,128.67,93.29,84.41,86.29,86.28,92.28,12.1,0.87,108.98,20.13,152.25,24.18,188.86,30.03,14.59,1.22,11.23,88.85,128.07,158.83,13.37,11.1,95.68
"David Desharnais","DAVID.DESHARNAIS","13-14","MTL","C","L",1986-09-14,27,78,201.93,73.54,81.68,83.92,86.08,83.93,19.34,6.96,162.82,36.52,227.63,43.62,325.48,52.62,19.9,3.81,12.38,126.3,184.01,272.86,16.09,11.88,80.94
"David Desharnais","DAVID.DESHARNAIS","14-15","MTL","C","L",1986-09-14,28,80,187.28,83.02,84.67,84.97,86,87.65,15.45,3.16,142.3,25.77,194.91,34.47,287.72,46.84,15.68,2.21,12.29,116.53,160.44,240.88,13.47,10.86,87.74
"David Desharnais","DAVID.DESHARNAIS","15-16","MTL","C","L",1986-09-14,29,63,144.3,87.14,87.19,87.49,88.9,86.32,13.62,2.01,116.01,17.05,163,23.31,226.46,28.27,13,2.06,11.61,98.96,139.69,198.19,10.94,11.74,88.21
"David Desharnais","DAVID.DESHARNAIS","17-18","NYR","C","L",1986-09-14,31,69,98.93,89.76,84.11,85.65,87.11,88.78,8.68,0.99,89.05,16.82,119.77,20.07,157.41,23.3,11.31,1.43,7.69,72.23,99.7,134.11,9.88,9.75,94.11
"David Jones","DAVID.JONES","10-11","COL","R","R",1984-08-10,26,76,179.45,81.65,85.56,87.03,87.14,91.97,9.43,2.12,125.19,21.12,175.44,26.14,226.5,33.43,16.04,1.4,7.31,104.07,149.3,193.07,14.64,7.53,89.96
"David Jones","DAVID.JONES","11-12","COL","R","R",1984-08-10,27,65,130.68,93.45,88.78,88.71,90.47,93.54,13.26,0.93,114.63,14.48,147.96,18.83,199.59,21.02,13.75,0.95,12.33,100.15,129.13,178.57,12.8,11.57,93.58
"David Jones","DAVID.JONES","12-13","COL","R","R",1984-08-10,28,33,53.1,100,83.28,82.76,85.01,84.55,2.12,0,27.64,5.55,42.19,8.79,60.61,10.69,4.27,0.78,2.12,22.09,33.4,49.92,3.49,7.67,100
"David Jones","DAVID.JONES","13-14","CGY","R","R",1984-08-10,29,43,83.55,60.2,83.09,83.89,87,92.27,4.84,3.2,58.19,11.84,87.51,16.81,118.87,17.77,7.4,0.62,1.64,46.35,70.7,101.1,6.78,8.32,72.97
"David Jones","DAVID.JONES","14-15","CGY","R","R",1984-08-10,30,66,63.15,78.53,81.71,85.94,88.23,89.98,3.95,1.08,40.71,9.11,66.38,10.86,103.64,13.83,5.93,0.66,2.87,31.6,55.52,89.81,5.27,9.7,88.14
"David Krejci","DAVID.KREJCI","07-08","BOS","C","R",1986-04-28,21,54,102.7,100,82.41,84.32,85.3,94.64,10.29,0,80.22,17.12,113.99,21.2,139.31,24,9.36,0.53,10.29,63.1,92.79,115.31,8.83,12.83,100
"David Krejci","DAVID.KREJCI","08-09","BOS","C","R",1986-04-28,22,81,177.58,100,87.27,88.9,88.73,89.29,24.19,0,146.81,21.41,195.99,24.46,260.94,33.14,16.26,1.95,24.19,125.4,171.53,227.8,14.31,16.48,100
"David Krejci","DAVID.KREJCI","09-10","BOS","C","R",1986-04-28,23,78,176.85,89.53,79.03,82.47,85.94,84.6,18.13,2.12,141.89,37.65,200.64,42.64,273.38,44.73,16.54,3.01,16.01,104.24,158,228.65,13.53,12.78,94.37
"David Krejci","DAVID.KREJCI","10-11","BOS","C","R",1986-04-28,24,72,193.62,86.97,84.68,86.26,89.05,89.02,21.35,3.2,199.62,36.12,265.8,42.33,354.42,43.57,22.29,2.75,18.15,163.5,223.47,310.85,19.54,10.7,91.14
"David Krejci","DAVID.KREJCI","11-12","BOS","C","R",1986-04-28,25,76,180.43,96.4,83.77,85.72,88.42,88.91,23.29,0.87,146.75,28.43,205.8,34.27,301.99,39.54,15.72,1.96,22.42,118.32,171.53,262.45,13.76,15.87,96.94
"David Krejci","DAVID.KREJCI","12-13","BOS","C","R",1986-04-28,26,44,96.95,80.98,80.61,82.26,83.1,86.42,7.96,1.87,73.91,17.78,100.93,21.76,137.18,27.89,8.27,1.3,6.09,56.13,79.17,109.29,6.97,10.77,89.48
"David Krejci","DAVID.KREJCI","13-14","BOS","C","R",1986-04-28,27,77,196.82,90.03,85.55,87.98,89.91,89.31,26.45,2.93,193.07,32.62,270.76,36.99,375.46,42.13,22.14,2.65,23.52,160.45,233.77,333.33,19.49,13.7,91.02
"David Krejci","DAVID.KREJCI","14-15","BOS","C","R",1986-04-28,28,45,103.63,86.44,82.43,84.67,87.73,86.31,13.7,2.15,98.67,21.03,133.4,24.16,191.17,26.73,12.42,1.97,11.55,77.64,109.24,164.44,10.45,13.88,89.78
"David Krejci","DAVID.KREJCI","15-16","BOS","C","R",1986-04-28,29,67,218.32,96.15,89.17,90.63,91.93,92.11,26.95,1.08,231.03,28.07,344.12,35.57,470.93,41.36,28.03,2.4,25.87,202.96,308.55,429.57,25.63,11.67,96.15
"David Krejci","DAVID.KREJCI","16-17","BOS","C","R",1986-04-28,30,80,196.17,77.46,86.57,87.58,89.51,88.5,14.81,4.31,182.92,28.38,255.85,36.29,334.23,39.19,20.78,2.7,10.5,154.54,219.56,295.04,18.08,8.1,84.81
"David Krejci","DAVID.KREJCI","17-18","BOS","C","R",1986-04-28,31,64,135.02,88.96,77.96,79.95,83.47,84.74,16.03,1.99,110.02,31.11,148.41,37.22,197.78,39.18,14.11,2.54,14.04,78.91,111.19,158.6,11.57,14.57,93.6
"David Krejci","DAVID.KREJCI","18-19","BOS","C","R",1986-04-28,32,80,163.42,67.49,67.81,74.36,77.8,70.45,18.77,9.04,113.71,53.98,178.79,61.64,219.84,62.73,14.78,6.2,9.73,59.73,117.15,157.11,8.58,16.51,83.25
"David Krejci","DAVID.KREJCI","19-20","BOS","C","R",1986-04-28,33,61,108.53,91.46,80.73,82.56,84.52,87.03,11.56,1.08,97.76,23.33,132.6,28.02,172.92,31.67,11.61,1.73,10.48,74.43,104.58,141.25,9.88,11.82,95.37
"David Legwand","DAVID.LEGWAND","07-08","NSH","C","L",1980-08-17,27,65,217.02,80.86,82.32,83.5,85.07,85.15,22.68,5.37,172.68,37.09,224.76,44.42,294,51.61,18.69,3.26,17.31,135.59,180.34,242.39,15.43,13.13,85.52
"David Legwand","DAVID.LEGWAND","08-09","NSH","C","L",1980-08-17,28,73,195.18,81.28,83.73,84.62,85.79,85.27,12.16,2.8,147.62,28.69,205.39,37.33,262.33,43.46,15.98,2.76,9.36,118.93,168.06,218.87,13.22,8.24,90.24
"David Legwand","DAVID.LEGWAND","09-10","NSH","C","L",1980-08-17,29,81,131,90.61,85.96,88.22,87.37,89.4,9.75,1.01,104.57,17.08,148.83,19.87,190.44,27.53,12.15,1.44,8.74,87.49,128.96,162.91,10.71,9.32,94.09
"David Legwand","DAVID.LEGWAND","10-11","NSH","C","L",1980-08-17,30,62,97.92,100,86.22,86.91,89.86,92.14,6.09,0,75,11.99,118.14,17.79,166.66,18.8,10.67,0.91,6.09,63.01,100.35,147.86,9.76,8.12,100
"David Legwand","DAVID.LEGWAND","11-12","NSH","C","L",1980-08-17,31,76,170.28,95.72,84.91,87.43,90.08,89.08,20.79,0.93,126.14,22.42,169.7,24.39,229.23,25.23,15.26,1.87,19.86,103.72,145.31,204,13.39,16.48,95.85
"David Legwand","DAVID.LEGWAND","12-13","NSH","C","L",1980-08-17,32,46,93.57,66.61,92.83,91.14,92.25,92.87,8.16,4.09,78.85,6.09,104.97,10.2,133.99,11.25,9.38,0.72,4.07,72.76,94.77,122.74,8.66,10.35,32.84
"David Legwand","DAVID.LEGWAND","13-14","DET","C","L",1980-08-17,33,21,52.15,77.85,85.66,87.85,89.95,81.9,7.03,2,49.58,8.3,68.93,9.53,85.48,9.55,5.52,1.22,5.03,41.28,59.4,75.93,4.3,14.18,75.9
"David Legwand","DAVID.LEGWAND","13-14","NSH","C","L",1980-08-17,33,61,170.45,100,92.16,93.78,93.5,95.52,21.88,0,147.72,12.56,204.92,13.6,255.06,17.73,17.69,0.83,21.88,135.16,191.32,237.33,16.86,14.81,100
"David Legwand","DAVID.LEGWAND","14-15","OTT","C","L",1980-08-17,34,80,178.03,84.36,85.86,87.65,89.18,87.53,17.2,3.19,162.62,26.78,237.34,33.43,329.31,39.95,18.82,2.68,14.01,135.84,203.91,289.36,16.14,10.58,88.09
"David Moss","DAVID.MOSS","08-09","CGY","R","R",1981-12-28,26,79,141.42,87.98,81.51,82.66,84.41,82.06,14.71,2.01,116.59,26.44,163.17,34.23,205.39,37.92,15.28,3.34,12.7,90.15,128.94,167.47,11.94,12.62,92.4
"David Moss","DAVID.MOSS","09-10","CGY","R","R",1981-12-28,27,64,92.25,100,86.44,85.91,87.11,95.14,8.97,0,75.08,11.78,106.03,17.39,139.56,20.65,9.01,0.46,8.97,63.3,88.64,118.91,8.55,11.95,100
"David Moss","DAVID.MOSS","10-11","CGY","R","R",1981-12-28,28,58,84.82,100,87.11,82.97,82.87,93.12,10.26,0,71.51,10.58,96.75,19.86,128.58,26.58,8.53,0.63,10.26,60.93,76.89,102,7.9,14.35,100
"David Pastrnak","DAVID.PASTRNAK","14-15","BOS","R","R",1996-05-25,18,43,77.23,84.16,83.98,88.38,89.23,94.92,4.94,0.93,53.88,10.28,78.28,10.29,115.84,13.98,5.6,0.3,4.01,43.6,67.99,101.86,5.3,9.17,90.95
"David Pastrnak","DAVID.PASTRNAK","16-17","BOS","R","R",1996-05-25,20,73,191.63,96.7,87.88,88.74,89.27,92.73,34.59,1.18,207.82,28.67,284.77,36.13,360.11,43.3,25.89,2.03,33.41,179.15,248.64,316.81,23.86,16.64,95.88
"David Pastrnak","DAVID.PASTRNAK","17-18","BOS","R","R",1996-05-25,21,82,245.32,84.61,81.76,83.78,86.04,86.39,38.82,7.06,269.89,60.22,367.21,71.1,474.91,77.07,34.86,5.49,31.76,209.67,296.11,397.84,29.37,14.38,88.28
"David Pastrnak","DAVID.PASTRNAK","18-19","BOS","R","R",1996-05-25,22,65,202.53,81.63,77.13,80.94,83.71,81.67,37.91,8.53,221.9,65.81,313.48,73.8,403.25,78.5,28.34,6.36,29.38,156.09,239.68,324.75,21.98,17.08,87.04
"David Pastrnak","DAVID.PASTRNAK","19-20","BOS","R","R",1996-05-25,23,70,256.37,86.89,81,83.42,85.25,87.12,42.14,6.36,271.93,63.77,382.48,76.03,475.02,82.18,35.72,5.28,35.78,208.16,306.45,392.84,30.44,15.5,90.03
"David Perron","DAVID.PERRON","07-08","STL","L","R",1988-05-28,19,61,125.55,78.25,84.28,85.99,84.65,86.46,8.13,2.26,87.9,16.39,126,20.53,160.31,29.07,9.77,1.53,5.87,71.51,105.47,131.24,8.24,9.25,86.21
"David Perron","DAVID.PERRON","08-09","STL","L","R",1988-05-28,20,80,240.48,83.22,88.98,88.86,89.54,90.91,20.44,4.12,183.28,22.71,261.59,32.79,358.75,41.93,22.1,2.21,16.32,160.57,228.8,316.82,19.89,11.15,81.86
"David Perron","DAVID.PERRON","09-10","STL","L","R",1988-05-28,21,82,211.42,91.55,85.14,87.4,88.79,87.61,20.9,1.93,155.26,27.1,244.54,35.26,335.63,42.38,22.06,3.12,18.97,128.16,209.28,293.25,18.94,13.46,92.88
"David Perron","DAVID.PERRON","11-12","STL","L","R",1988-05-28,23,57,141.92,100,89.41,91.98,91.28,95.15,23.29,0,132.95,15.75,204.49,17.82,260.49,24.89,19.05,0.97,23.29,117.2,186.67,235.6,18.08,17.52,100
"David Perron","DAVID.PERRON","12-13","STL","L","R",1988-05-28,24,48,115.4,86.64,87.57,88.92,92.15,88.8,11.22,1.73,91.27,12.96,136.73,17.04,199.73,17.02,11.97,1.51,9.49,78.31,119.69,182.71,10.46,12.29,86.65
"David Perron","DAVID.PERRON","13-14","EDM","L","R",1988-05-28,25,75,204.28,67.73,86.23,85.76,87.46,88.41,17.55,8.36,153.16,24.46,216.13,35.9,295.32,42.35,20.37,2.67,9.19,128.7,180.23,252.97,17.7,11.46,65.82
"David Perron","DAVID.PERRON","14-15","EDM","L","R",1988-05-28,26,37,95.45,58.08,82.96,83.31,86.27,85.65,5.75,4.15,71.69,14.72,96.38,19.31,127.56,20.3,8.24,1.38,1.6,56.97,77.07,107.26,6.86,8.02,71.81
"David Perron","DAVID.PERRON","14-15","PIT","L","R",1988-05-28,26,40,115.43,91.64,92.64,90.95,91.41,93.87,10.19,0.93,116.47,9.25,145.55,14.48,195.16,18.33,13.63,0.89,9.26,107.22,131.07,176.83,12.74,8.75,89.95
"David Perron","DAVID.PERRON","15-16","ANA","L","R",1988-05-28,27,27,71.45,100,94.31,93.37,94.43,94.29,16.67,0,78.55,4.74,107.39,7.62,143.46,8.46,10.07,0.61,16.67,73.81,99.77,135,9.46,21.22,100
"David Perron","DAVID.PERRON","15-16","PIT","L","R",1988-05-28,27,43,72.82,82.61,77.3,77.26,80.5,79.37,5.13,1.08,49.39,14.5,77.04,22.68,102.73,24.89,6.31,1.64,4.05,34.89,54.36,77.84,4.67,10.39,92.55
"David Perron","DAVID.PERRON","16-17","STL","L","R",1988-05-28,28,80,171.12,88.09,88.9,88.02,90.2,89.42,22.18,3,128.17,16.01,178.29,24.27,248.22,26.98,14.37,1.7,19.18,112.16,154.02,221.24,12.67,17.31,81.26
"David Perron","DAVID.PERRON","17-18","VGK","L","R",1988-05-28,29,69,172.7,86.56,84.97,86.23,88.34,85.59,25.88,4.02,143.58,25.39,202.67,32.36,274.73,36.26,17.94,3.02,21.86,118.19,170.31,238.47,14.92,18.02,84.17
"David Perron","DAVID.PERRON","18-19","STL","L","R",1988-05-28,30,57,131.27,86.19,81.58,84.34,86.1,89.13,19.48,3.12,114.69,25.9,161.02,29.89,213.99,34.54,16.24,1.98,16.36,88.79,131.13,179.45,14.26,16.98,87.95
"David Perron","DAVID.PERRON","19-20","STL","L","R",1988-05-28,31,69,198.93,91.1,80.35,82.98,86.3,82.55,31.92,3.12,196.45,48.03,266.91,54.74,351.95,55.86,24.31,5.14,28.8,148.42,212.17,296.09,19.17,16.25,93.5
"David Rundblad","DAVID.RUNDBLAD","11-12","OTT","D","R",1990-10-08,20,24,52.97,71.36,82.34,85.39,88.2,79.47,2.94,1.18,43.32,9.29,67.89,11.62,86.85,11.62,5.65,1.46,1.76,34.03,56.27,75.23,4.19,6.79,87.3
"David Savard","DAVID.SAVARD","11-12","CBJ","D","R",1990-10-22,20,30,70.63,100,89.41,90.89,91.82,96.45,5.01,0,64.01,7.58,84.92,8.51,107.25,9.56,7.06,0.26,5.01,56.43,76.41,97.69,6.8,7.83,100
"David Savard","DAVID.SAVARD","14-15","CBJ","D","R",1990-10-22,23,80,156.8,95.08,88.33,88.65,90.51,92.53,19.52,1.01,134.96,17.83,180.41,23.1,236.89,24.85,18.45,1.49,18.51,117.13,157.31,212.04,16.96,14.46,94.34
"David Savard","DAVID.SAVARD","15-16","CBJ","D","R",1990-10-22,24,64,131,84.96,86.11,87.12,88.19,90.5,10.56,1.87,100.44,16.2,135.66,20.06,181.85,24.35,12.1,1.27,8.69,84.24,115.6,157.5,10.83,10.51,88.46
"David Schlemko","DAVID.SCHLEMKO","10-11","ARI","D","L",1987-05-07,23,43,69.17,73.03,74.37,76.31,79.76,82.6,6.12,2.26,47.5,16.37,63.01,19.56,93.64,23.76,5.65,1.19,3.86,31.13,43.45,69.88,4.46,12.88,86.19
"David Schlemko","DAVID.SCHLEMKO","12-13","ARI","D","L",1987-05-07,25,29,55.5,100,88.67,87.51,88.93,90.61,2.92,0,39.84,5.09,56.42,8.05,82.12,10.22,4.73,0.49,2.92,34.75,48.37,71.9,4.24,7.33,100
"David Schlemko","DAVID.SCHLEMKO","15-16","N.J","D","L",1987-05-07,28,66,132.38,100,89.5,90.91,91.54,93.81,18.36,0,109.09,12.8,157.58,15.75,202.63,18.72,14.54,0.96,18.36,96.29,141.83,183.91,13.58,16.83,100
"David Schlemko","DAVID.SCHLEMKO","16-17","S.J","D","L",1987-05-07,29,62,92.6,86.1,92.91,92.94,93.6,96.94,6.13,0.99,92.05,7.02,116.66,8.86,157.65,10.78,9.49,0.3,5.14,85.03,107.8,146.87,9.19,6.66,85.9
"David Vyborny","DAVID.VYBORNY","07-08","CBJ","R","L",1975-01-22,32,66,157.95,100,88.33,90.56,91.7,96.17,15.94,0,119.32,15.77,160.05,16.69,239.95,21.73,13.55,0.54,15.94,103.55,143.36,218.22,13.01,13.36,100
"Daymond Langkow","DAYMOND.LANGKOW","07-08","CGY","C","L",1976-09-27,30,80,288.33,93.68,86.05,87.04,87.97,93.3,32.34,2.18,223.48,36.22,319.88,47.63,407,55.66,28.82,2.07,30.16,187.26,272.25,351.34,26.75,14.47,93.98
"Daymond Langkow","DAYMOND.LANGKOW","08-09","CGY","C","L",1976-09-27,31,71,259.48,86.15,84.96,85.97,87.65,87.36,25.45,4.09,219.02,38.78,298.08,48.66,386.74,54.5,26.05,3.77,21.36,180.24,249.42,332.24,22.28,11.62,89.45
"Daymond Langkow","DAYMOND.LANGKOW","09-10","CGY","C","L",1976-09-27,32,72,159.57,100,90.42,91.61,92.35,96.85,16.37,0,118.68,12.58,182.24,16.68,257.47,21.34,15.05,0.49,16.37,106.1,165.56,236.13,14.56,13.79,100
"Daymond Langkow","DAYMOND.LANGKOW","11-12","ARI","C","L",1976-09-27,34,72,104.5,61.33,79.83,83.09,86.95,86.7,2.95,1.86,66.76,16.87,102.22,20.8,145.5,21.84,8.41,1.29,1.09,49.89,81.42,123.66,7.12,4.42,88.97
"Denis Grebeshkov","DENIS.GREBESHKOV","07-08","EDM","D","L",1983-10-11,23,71,141.43,94,79.49,80.78,84.28,82.93,15.81,1.01,76.87,19.83,113.22,26.94,161.77,30.17,8.99,1.85,14.8,57.04,86.28,131.6,7.14,20.57,94.91
"Denis Grebeshkov","DENIS.GREBESHKOV","08-09","EDM","D","L",1983-10-11,24,72,190.4,85.4,81.77,82.69,85,77.99,16.85,2.88,115.97,25.85,164.57,34.46,224.93,39.69,13.25,3.74,13.97,90.12,130.11,185.24,9.51,14.53,88.86
"Denis Grebeshkov","DENIS.GREBESHKOV","09-10","EDM","D","L",1983-10-11,25,46,115.97,93.68,88.87,89.67,89.08,90.46,12.89,0.87,80.77,10.12,104.73,12.07,142.4,17.45,7.87,0.83,12.02,70.65,92.66,124.95,7.04,15.96,91.4
"Denis Gurianov","DENIS.GURIANOV","19-20","DAL","R","L",1997-06-07,22,60,119.08,100,88.05,90.66,92.66,95.66,15.87,0,108.28,14.69,153.01,15.76,224.1,17.76,14.31,0.65,15.87,93.59,137.25,206.34,13.66,14.66,100
"Denis Malgin","DENIS.MALGIN","16-17","FLA","C","R",1997-01-18,19,46,50.17,100,82.03,81.06,84.12,75.88,6.59,0,41.5,9.09,56.91,13.3,76.05,14.36,5.63,1.79,6.59,32.41,43.61,61.69,3.84,15.88,100
"Denis Malgin","DENIS.MALGIN","17-18","FLA","C","R",1997-01-18,20,49,62.3,91.8,88.75,87.47,87.86,89.09,11.31,1.01,61.29,7.77,81.82,11.72,112.51,15.55,6.94,0.85,10.3,53.52,70.1,96.96,6.09,18.45,87
"Dennis Cholowski","DENNIS.CHOLOWSKI","18-19","DET","D","L",1998-02-15,20,50,120.22,88.01,84.04,84.73,84.91,86.13,13.73,1.87,85.76,16.29,120.39,21.69,148.08,26.31,10.99,1.77,11.86,69.47,98.7,121.77,9.22,16.01,88.52
"Dennis Cholowski","DENNIS.CHOLOWSKI","19-20","DET","D","L",1998-02-15,21,34,87.58,61.81,80.8,83.91,87.13,76.92,6.54,4.04,68.17,16.2,90.61,17.37,118.22,17.47,7.63,2.29,2.5,51.97,73.24,100.75,5.34,9.59,75.06
"Dennis Seidenberg","DENNIS.SEIDENBERG","07-08","CAR","D","L",1981-07-18,26,47,119.15,88.86,84.3,83.56,86.55,83.17,15.88,1.99,93.19,17.36,129.29,25.43,189.37,29.42,10.48,2.12,13.89,75.83,103.86,159.95,8.36,17.04,88.54
"Dennis Seidenberg","DENNIS.SEIDENBERG","08-09","CAR","D","L",1981-07-18,27,69,187.68,80.18,83.81,84.51,87.53,85.18,19.9,4.92,154.16,29.77,213.99,39.23,296.37,42.23,20.63,3.59,14.98,124.39,174.76,254.14,17.04,12.91,83.47
"Dennis Seidenberg","DENNIS.SEIDENBERG","09-10","FLA","D","L",1981-07-18,28,62,139.25,74.31,78.05,80.32,83.22,86.5,14.55,5.03,113.3,31.87,154.68,37.9,213.34,43.02,13.14,2.05,9.52,81.43,116.78,170.32,11.09,12.84,84.22
"Dennis Seidenberg","DENNIS.SEIDENBERG","10-11","BOS","D","L",1981-07-18,29,78,174.88,92.9,81.71,80.58,83.61,86.08,15.43,1.18,157.63,35.29,211.52,50.99,271.99,53.32,17.19,2.78,14.25,122.34,160.53,218.67,14.41,9.79,96.66
"Dennis Seidenberg","DENNIS.SEIDENBERG","11-12","BOS","D","L",1981-07-18,30,77,197.22,100,85.46,87.87,88.98,93.32,18.15,0,162.84,27.7,243.35,33.59,327.05,40.5,19.7,1.41,18.15,135.14,209.76,286.55,18.29,11.15,100
"Dennis Wideman","DENNIS.WIDEMAN","07-08","BOS","D","R",1983-03-20,24,79,287.7,100,79.6,83.13,83.65,86.83,31.87,0,225.37,57.77,310.38,62.97,374.86,73.28,23.4,3.55,31.87,167.6,247.41,301.58,19.85,14.14,100
"Dennis Wideman","DENNIS.WIDEMAN","08-09","BOS","D","R",1983-03-20,25,78,231.6,94.84,87.11,88.63,89.14,91.18,34.2,1.86,201.3,29.8,270.59,34.73,363.9,44.35,22.02,2.13,32.34,171.5,235.86,319.55,19.89,16.99,93.76
"Dennis Wideman","DENNIS.WIDEMAN","09-10","BOS","D","R",1983-03-20,26,75,191.97,88.24,79.56,81.45,84.97,83.23,15.9,2.12,167.18,42.96,223.9,51,301.28,53.28,17.42,3.51,13.78,124.22,172.9,248,13.91,9.51,95.07
"Dennis Wideman","DENNIS.WIDEMAN","10-11","FLA","D","R",1983-03-20,27,61,231.72,83.72,81.45,81.59,83.12,84.29,15.74,3.06,186.14,42.39,263.33,59.42,349.69,71.01,21.84,4.07,12.68,143.75,203.91,278.68,17.77,8.46,92.78
"Dennis Wideman","DENNIS.WIDEMAN","11-12","WSH","D","R",1983-03-20,28,78,255.6,86.02,83.18,84.37,86.88,81.87,26.88,4.37,201.57,40.77,292.38,54.17,399.05,60.27,23.07,5.11,22.51,160.8,238.21,338.78,17.96,13.34,89.28
"Dennis Wideman","DENNIS.WIDEMAN","12-13","CGY","D","R",1983-03-20,29,45,151.62,100,84.16,85.42,88.05,86.53,13.36,0,103.89,19.55,150.04,25.61,207.24,28.12,13.75,2.14,13.36,84.34,124.43,179.12,11.61,12.86,100
"Dennis Wideman","DENNIS.WIDEMAN","13-14","CGY","D","R",1983-03-20,30,42,138.97,69.78,80.91,83.27,85.88,90.19,12.1,5.24,98.01,23.13,146.19,29.38,191.49,31.48,13.33,1.45,6.86,74.88,116.81,160.01,11.88,12.35,77.35
"Dennis Wideman","DENNIS.WIDEMAN","14-15","CGY","D","R",1983-03-20,31,79,236.87,93.43,85.69,85.69,86.39,90.57,29.45,2.07,205.38,34.31,286.87,47.92,401.66,63.29,27.38,2.85,27.38,171.07,238.95,338.37,24.53,14.34,93.97
"Dennis Wideman","DENNIS.WIDEMAN","15-16","CGY","D","R",1983-03-20,32,50,142.3,90.62,84.08,86.09,87.74,90.78,9.56,0.99,107.85,20.42,150.65,24.35,214.44,29.97,12.01,1.22,8.57,87.43,126.3,184.47,10.79,8.86,95.15
"Dennis Wideman","DENNIS.WIDEMAN","16-17","CGY","D","R",1983-03-20,33,57,57.88,85.92,79.88,84.12,86.33,84.85,7.2,1.18,50.03,12.6,66.8,12.61,85.26,13.5,4.65,0.83,6.02,37.43,54.19,71.76,3.82,14.39,90.63
"Derek Armstrong","DEREK.ARMSTRONG","07-08","L.A","C","R",1973-04-23,34,77,124.55,89.69,87.21,87.87,89.65,87.32,8.09,0.93,78.29,11.48,131.13,18.11,182.67,21.1,10.33,1.5,7.16,66.81,113.02,161.57,8.83,10.33,91.9
"Derek Dorsett","DEREK.DORSETT","11-12","CBJ","R","R",1986-12-20,24,76,57.82,78.65,91.96,92.35,92.01,91.77,3.72,1.01,61.53,5.38,77.55,6.42,100.15,8.7,7.58,0.68,2.71,56.15,71.13,91.45,6.9,6.05,81.23
"Derek Meech","DEREK.MEECH","09-10","DET","D","L",1984-04-21,25,49,64.13,100,91.17,89.71,91.65,96.53,1.08,0,60.06,5.82,77.47,8.89,97.78,8.91,5.28,0.19,1.08,54.24,68.58,88.87,5.09,1.8,100
"Derek Morris","DEREK.MORRIS","07-08","ARI","D","R",1978-08-24,29,81,163,81.16,78.97,79.66,84.07,86.66,14.39,3.34,121.76,32.43,167.51,42.78,245.33,46.48,13.45,2.07,11.05,89.33,124.73,198.85,11.38,11.82,89.7
"Derek Morris","DEREK.MORRIS","08-09","ARI","D","R",1978-08-24,30,55,110.73,75.13,84.04,79.32,80.14,84.21,5.86,1.94,84.44,16.04,122.01,31.81,157.41,39.01,9.12,1.71,3.92,68.4,90.2,118.4,7.41,6.94,87.91
"Derek Morris","DEREK.MORRIS","08-09","NYR","D","R",1978-08-24,30,18,53.05,100,83.95,85.92,87.14,88.71,4.05,0,40.96,7.83,66.33,10.87,93.08,13.74,5.5,0.7,4.05,33.13,55.46,79.34,4.8,9.89,100
"Derek Morris","DEREK.MORRIS","09-10","BOS","D","R",1978-08-24,31,57,132.63,100,80.85,82.67,84.53,89.62,15.58,0,111.05,26.3,145.23,30.45,199.64,36.53,12.26,1.42,15.58,84.75,114.78,163.11,10.84,14.03,100
"Derek Morris","DEREK.MORRIS","10-11","ARI","D","R",1978-08-24,32,75,60.45,66.82,85.12,89.05,87.68,83.29,5.8,2.88,50.8,8.88,72.19,8.88,92.29,12.97,6.08,1.22,2.92,41.92,63.31,79.32,4.86,11.42,67.57
"Derek Roy","DEREK.ROY","07-08","BUF","C","L",1983-05-04,24,77,268.45,90.62,85.04,85.79,87.04,88.99,27.81,2.88,216.74,38.12,307.81,50.99,398.25,59.28,25.14,3.11,24.93,178.62,256.82,338.97,22.03,12.83,92.44
