"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"Brett Pesce","BRETT.PESCE","15-16","CAR","D","R",1994-11-15,20,67,65.58,0.98,21.6,32,10,1,42,50,11,2,0,0
"Brett Ritchie","BRETT.RITCHIE","14-15","DAL","R","R",1993-07-01,21,30,68.92,2.3,38.37,42,10,1,15,74,16,4,1,0
"Brett Ritchie","BRETT.RITCHIE","16-17","DAL","R","R",1993-07-01,23,77,120.58,1.57,30.88,47,18,5,89,66,25,10,1,1
"Brett Ritchie","BRETT.RITCHIE","17-18","DAL","R","R",1993-07-01,24,68,101.6,1.49,30.32,68,17,1,44,86,21,3,2,0
"Brian Boyle","BRIAN.BOYLE","11-12","NYR","C","L",1984-12-18,26,81,67.83,0.84,15.58,37,17,4,53,46,19,5,0,0
"Brian Boyle","BRIAN.BOYLE","16-17","T.B","C","L",1984-12-18,31,54,82.92,1.54,29.28,52,10,1,25,79,14,5,2,0
"Brian Boyle","BRIAN.BOYLE","17-18","N.J","C","L",1984-12-18,32,67,139.52,2.08,43.81,69,8,4,57,122,16,9,1,0
"Brian Boyle","BRIAN.BOYLE","18-19","N.J","C","L",1984-12-18,33,47,128.75,2.74,49.36,90,8,2,25,127,18,4,1,0
"Brian Boyle","BRIAN.BOYLE","18-19","NSH","C","L",1984-12-18,33,25,55.33,2.21,51.16,38,3,1,14,51,4,1,0,0
"Brian Campbell","BRIAN.CAMPBELL","07-08","BUF","D","L",1979-05-23,28,63,246.12,3.91,59.43,78,59,4,43,170,89,14,0,0
"Brian Campbell","BRIAN.CAMPBELL","07-08","S.J","D","L",1979-05-23,28,20,83.9,4.2,77.59,25,16,0,4,57,34,1,0,0
"Brian Campbell","BRIAN.CAMPBELL","08-09","CHI","D","L",1979-05-23,29,82,349.55,4.26,62.53,175,29,7,64,295,55,12,2,0
"Brian Campbell","BRIAN.CAMPBELL","09-10","CHI","D","L",1979-05-23,30,68,191.38,2.81,53.1,89,22,1,58,152,35,5,1,0
"Brian Campbell","BRIAN.CAMPBELL","10-11","CHI","D","L",1979-05-23,31,64,130.73,2.04,39.1,44,24,4,92,60,30,9,2,0
"Brian Campbell","BRIAN.CAMPBELL","11-12","FLA","D","L",1979-05-23,32,82,326.53,3.98,70.98,121,33,2,55,265,62,12,4,1
"Brian Campbell","BRIAN.CAMPBELL","12-13","FLA","D","L",1979-05-23,33,47,174.15,3.71,77.07,72,10,1,22,153,29,7,1,1
"Brian Campbell","BRIAN.CAMPBELL","13-14","FLA","D","L",1979-05-23,34,82,304.25,3.71,65.71,120,18,5,64,267,45,19,3,0
"Brian Campbell","BRIAN.CAMPBELL","14-15","FLA","D","L",1979-05-23,35,82,235.6,2.87,59.36,106,30,5,48,207,46,13,3,0
"Brian Campbell","BRIAN.CAMPBELL","15-16","FLA","D","L",1979-05-23,36,80,209.37,2.62,48.12,114,20,6,69,176,41,14,2,0
"Brian Campbell","BRIAN.CAMPBELL","16-17","CHI","D","L",1979-05-23,37,79,128.45,1.63,35.67,42,12,6,109,64,14,14,5,0
"Brian Gionta","BRIAN.GIONTA","07-08","N.J","R","R",1979-01-18,28,81,269.45,3.33,52.14,93,51,3,85,180,89,8,1,0
"Brian Gionta","BRIAN.GIONTA","08-09","N.J","R","R",1979-01-18,29,80,189.23,2.37,39.67,72,21,4,129,117,36,14,0,0
"Brian Gionta","BRIAN.GIONTA","09-10","MTL","R","R",1979-01-18,30,59,162.27,2.75,51.87,85,13,1,77,140,31,7,0,0
"Brian Gionta","BRIAN.GIONTA","10-11","MTL","R","R",1979-01-18,31,81,217.02,2.68,49.41,121,22,1,94,187,46,6,2,0
"Brian Gionta","BRIAN.GIONTA","11-12","MTL","R","R",1979-01-18,32,31,82.62,2.67,42.85,37,5,3,54,66,9,6,1,0
"Brian Gionta","BRIAN.GIONTA","12-13","MTL","R","R",1979-01-18,33,48,134.02,2.79,43.67,62,17,0,60,92,25,4,2,0
"Brian Gionta","BRIAN.GIONTA","13-14","MTL","R","R",1979-01-18,34,80,113.58,1.42,24.93,66,6,3,81,89,15,8,3,0
"Brian Gionta","BRIAN.GIONTA","14-15","BUF","R","R",1979-01-18,35,66,138.97,2.11,44.26,65,11,4,63,109,23,7,2,0
"Brian Gionta","BRIAN.GIONTA","15-16","BUF","R","R",1979-01-18,36,77,148.97,1.93,38.21,55,26,1,100,104,40,6,1,0
"Brian Gionta","BRIAN.GIONTA","16-17","BUF","R","R",1979-01-18,37,79,123.77,1.57,33.9,36,12,6,106,55,23,11,3,0
"Brian Lee","BRIAN.LEE","08-09","OTT","D","R",1987-03-26,21,53,69.07,1.3,21.12,21,7,3,60,46,12,5,0,0
"Brian Pothier","BRIAN.POTHIER","07-08","WSH","D","L",1977-04-15,30,38,66.78,1.76,26.2,22,17,1,40,31,27,3,1,0
"Brian Rafalski","BRIAN.RAFALSKI","07-08","DET","D","R",1973-09-28,33,73,293.9,4.03,60.04,125,68,6,56,238,107,11,1,0
"Brian Rafalski","BRIAN.RAFALSKI","08-09","DET","D","R",1973-09-28,34,77,262.62,3.41,54.41,137,32,5,94,253,51,10,1,0
"Brian Rafalski","BRIAN.RAFALSKI","09-10","DET","D","R",1973-09-28,35,77,278.1,3.61,59.76,156,27,3,56,265,43,8,0,0
"Brian Rafalski","BRIAN.RAFALSKI","10-11","DET","D","R",1973-09-28,36,61,208.77,3.42,62.87,115,21,2,42,198,38,5,0,0
"Brian Rolston","BRIAN.ROLSTON","07-08","MIN","R","L",1973-02-21,34,80,277.22,3.47,55.66,130,53,6,76,211,77,12,2,1
"Brian Rolston","BRIAN.ROLSTON","08-09","N.J","R","L",1973-02-21,35,63,179.15,2.84,48.15,78,15,1,78,136,34,7,0,0
"Brian Rolston","BRIAN.ROLSTON","09-10","N.J","R","L",1973-02-21,36,78,176.93,2.27,43.47,108,18,4,83,156,24,6,0,0
"Brian Rolston","BRIAN.ROLSTON","10-11","N.J","R","L",1973-02-21,37,62,151.8,2.45,51.32,74,15,1,54,124,24,5,2,0
"Brian Rolston","BRIAN.ROLSTON","11-12","NYI","R","L",1973-02-21,38,46,94.6,2.06,39.82,49,4,1,36,70,10,2,0,0
"Brock Boeser","BROCK.BOESER","17-18","VAN","R","R",1997-02-25,20,61,173.08,2.84,56.9,92,14,0,40,159,29,4,3,0
"Brock Boeser","BROCK.BOESER","18-19","VAN","R","R",1997-02-25,21,67,235.33,3.51,68.4,109,25,0,25,209,31,2,1,0
"Brock Boeser","BROCK.BOESER","19-20","VAN","R","R",1997-02-25,22,56,216.32,3.86,68.47,112,19,2,26,180,29,7,1,0
"Brock Nelson","BROCK.NELSON","13-14","NYI","C","L",1991-10-15,21,71,127.97,1.8,33.88,67,16,2,63,94,24,5,2,0
"Brock Nelson","BROCK.NELSON","14-15","NYI","C","L",1991-10-15,22,82,212.5,2.59,50.86,124,14,2,64,192,27,4,1,0
"Brock Nelson","BROCK.NELSON","15-16","NYI","C","L",1991-10-15,23,78,140.82,1.81,39.34,55,15,4,89,86,22,8,3,0
"Brock Nelson","BROCK.NELSON","16-17","NYI","C","L",1991-10-15,24,78,145.07,1.86,40.38,62,11,4,89,98,16,10,2,0
"Brock Nelson","BROCK.NELSON","17-18","NYI","C","L",1991-10-15,25,81,144.28,1.78,36.04,35,21,5,117,62,28,8,1,0
"Brock Nelson","BROCK.NELSON","18-19","NYI","C","L",1991-10-15,26,80,187.3,2.34,50.09,104,10,1,57,154,22,7,2,0
"Brock Nelson","BROCK.NELSON","19-20","NYI","C","L",1991-10-15,27,65,136.42,2.1,49.13,78,10,1,40,128,22,2,1,0
"Brooks Laich","BROOKS.LAICH","07-08","WSH","C","L",1983-06-23,24,82,98.22,1.2,19.14,39,22,3,77,58,31,4,0,0
"Brooks Laich","BROOKS.LAICH","08-09","WSH","C","L",1983-06-23,25,82,200.05,2.44,41.98,104,21,8,80,165,47,14,3,0
"Brooks Laich","BROOKS.LAICH","09-10","WSH","C/L","L",1983-06-23,26,77,214.72,2.79,50.11,118,26,3,58,198,47,5,2,0
"Brooks Laich","BROOKS.LAICH","10-11","WSH","L","L",1983-06-23,27,79,221.97,2.81,54.48,122,23,1,48,208,47,4,1,0
"Brooks Laich","BROOKS.LAICH","11-12","WSH","C/L","L",1983-06-23,28,78,167.95,2.15,43.81,87,12,7,64,144,35,11,1,0
"Brooks Laich","BROOKS.LAICH","13-14","WSH","C","L",1983-06-23,30,51,66.7,1.31,23.89,40,13,4,40,55,20,6,1,0
"Bruno Gervais","BRUNO.GERVAIS","07-08","NYI","D","R",1984-10-03,22,60,122.98,2.05,35.51,32,28,6,70,57,46,7,1,0
"Bruno Gervais","BRUNO.GERVAIS","08-09","NYI","D","R",1984-10-03,23,69,80.73,1.17,19.58,27,14,13,69,48,20,15,1,0
"Bruno Gervais","BRUNO.GERVAIS","09-10","NYI","D","R",1984-10-03,24,69,75.35,1.09,16.69,38,11,5,56,54,16,7,0,0
"Bryan Berard","BRYAN.BERARD","07-08","NYI","D","L",1977-03-05,30,54,194.13,3.59,59.11,68,48,2,31,117,75,10,1,0
"Bryan Bickell","BRYAN.BICKELL","10-11","CHI","L","L",1986-03-09,24,77,69.77,0.91,17.22,32,16,3,59,37,19,5,0,0
"Bryan Bickell","BRYAN.BICKELL","14-15","CHI","L","L",1986-03-09,28,77,57.9,0.75,13.79,14,10,0,56,24,11,1,1,0
"Bryan Little","BRYAN.LITTLE","07-08","ATL","C","R",1987-11-12,19,48,143.85,3,45.97,50,29,0,57,89,47,2,2,0
"Bryan Little","BRYAN.LITTLE","08-09","ATL","C","R",1987-11-12,20,79,295.3,3.74,55.56,170,27,4,41,249,47,13,1,0
"Bryan Little","BRYAN.LITTLE","09-10","ATL","C/R","R",1987-11-12,21,79,232.07,2.94,45.82,115,24,5,83,184,37,10,1,0
"Bryan Little","BRYAN.LITTLE","10-11","ATL","R","R",1987-11-12,22,75,174.8,2.33,43.25,103,27,4,73,137,42,12,4,0
"Bryan Little","BRYAN.LITTLE","11-12","WPG","R","R",1987-11-12,23,73,188.43,2.58,51.75,83,15,2,61,157,38,10,3,0
"Bryan Little","BRYAN.LITTLE","12-13","WPG","R","R",1987-11-12,24,47,117.25,2.49,51.15,68,13,2,38,101,27,5,2,0
"Bryan Little","BRYAN.LITTLE","13-14","WPG","C/R","R",1987-11-12,25,80,208.08,2.6,50.79,112,19,1,74,188,43,9,4,0
"Bryan Little","BRYAN.LITTLE","14-15","WPG","C","R",1987-11-12,26,67,196.28,2.93,53.79,126,25,3,41,187,38,17,6,0
"Bryan Little","BRYAN.LITTLE","15-16","WPG","C","R",1987-11-12,27,56,157.95,2.82,53.94,100,21,0,35,158,35,7,2,0
"Bryan Little","BRYAN.LITTLE","16-17","WPG","C","R",1987-11-12,28,59,127.43,2.16,44.21,85,15,3,52,129,31,8,0,0
"Bryan Little","BRYAN.LITTLE","17-18","WPG","C","R",1987-11-12,29,80,174.47,2.18,41.42,78,22,6,101,134,37,11,2,0
"Bryan Little","BRYAN.LITTLE","18-19","WPG","C","R",1987-11-12,30,81,108.45,1.34,27.27,41,10,11,98,61,20,16,3,0
"Bryan McCabe","BRYAN.MCCABE","07-08","TOR","D","L",1975-06-08,32,54,232.75,4.31,65.97,66,47,5,21,162,88,13,3,0
"Bryan McCabe","BRYAN.MCCABE","08-09","FLA","D","L",1975-06-08,33,67,307.47,4.59,73.98,136,23,3,34,294,54,9,1,0
"Bryan McCabe","BRYAN.MCCABE","09-10","FLA","D","L",1975-06-08,34,82,316.88,3.86,65.23,172,22,3,33,320,42,12,2,0
"Bryan McCabe","BRYAN.MCCABE","10-11","FLA","D","L",1975-06-08,35,48,157.33,3.28,57.54,74,16,3,35,130,27,10,5,1
"Bryan McCabe","BRYAN.MCCABE","10-11","NYR","D","L",1975-06-08,35,18,66.2,3.68,62.98,32,10,0,7,59,12,1,0,0
"Bryan Rodney","BRYAN.RODNEY","09-10","CAR","D","R",1984-04-22,25,21,53.97,2.57,45.35,28,8,1,20,40,11,1,0,0
"Bryan Rust","BRYAN.RUST","17-18","PIT","R","R",1992-05-11,25,68,52.45,0.77,16.03,9,12,5,62,14,13,7,1,0
"Bryan Rust","BRYAN.RUST","19-20","PIT","R","R",1992-05-11,27,54,142.85,2.65,55.72,72,17,1,24,138,21,3,0,0
"Byron Ritchie","BYRON.RITCHIE","07-08","VAN","C","L",1977-04-24,30,71,59.2,0.83,12.33,28,20,6,38,37,22,9,1,0
"Cal Clutterbuck","CAL.CLUTTERBUCK","10-11","MIN","R","R",1987-11-18,22,74,155.15,2.1,38.07,73,16,2,107,104,25,9,0,0
"Cal Clutterbuck","CAL.CLUTTERBUCK","11-12","MIN","R","R",1987-11-18,23,74,154,2.08,40.55,59,18,5,109,92,33,8,1,1
"Cal Clutterbuck","CAL.CLUTTERBUCK","13-14","NYI","R","R",1987-11-18,25,72,92.55,1.29,23.48,32,16,2,89,50,21,3,1,0
"Cal Clutterbuck","CAL.CLUTTERBUCK","18-19","NYI","R","R",1987-11-18,30,71,91.55,1.29,27.52,38,7,0,75,56,12,4,0,0
"Cal O'Reilly","CAL.O'REILLY","09-10","NSH","C","L",1986-09-30,22,31,63.62,2.05,35.95,22,5,1,32,39,9,3,0,0
"Cal O'Reilly","CAL.O'REILLY","10-11","NSH","C","L",1986-09-30,23,37,82.22,2.22,38.18,46,12,1,26,73,22,1,0,0
"Cale Makar","CALE.MAKAR","19-20","COL","D","R",1998-10-30,20,57,197.98,3.47,63.62,100,14,0,23,190,23,5,3,0
"Calle Jarnkrok","CALLE.JARNKROK","15-16","NSH","C","R",1991-09-25,23,81,52.48,0.65,12.85,34,8,1,21,52,9,3,0,0
"Calle Jarnkrok","CALLE.JARNKROK","16-17","NSH","C","R",1991-09-25,24,80,66.18,0.83,16.5,30,7,4,48,48,12,4,0,0
"Calle Jarnkrok","CALLE.JARNKROK","18-19","NSH","C","R",1991-09-25,26,78,68.17,0.87,17.59,38,9,2,34,60,11,4,0,0
"Calle Jarnkrok","CALLE.JARNKROK","19-20","NSH","C","R",1991-09-25,27,63,112.2,1.78,35.26,62,10,4,47,103,14,5,0,0
"Calvin De Haan","CALVIN.DE HAAN","13-14","NYI","D","L",1991-05-09,22,50,63.27,1.27,23.52,26,10,1,61,44,17,3,1,0
"Cam Atkinson","CAM.ATKINSON","11-12","CBJ","R","R",1989-06-05,22,27,73.77,2.73,40.36,40,5,3,31,55,14,5,0,0
"Cam Atkinson","CAM.ATKINSON","13-14","CBJ","R","R",1989-06-05,24,75,167.78,2.24,39.44,86,18,1,80,130,31,4,0,0
"Cam Atkinson","CAM.ATKINSON","14-15","CBJ","R","R",1989-06-05,25,76,172.45,2.27,45.77,95,27,5,59,138,43,12,3,0
"Cam Atkinson","CAM.ATKINSON","15-16","CBJ","R","R",1989-06-05,26,79,165.17,2.09,44.04,88,19,3,62,155,34,7,2,0
"Cam Atkinson","CAM.ATKINSON","16-17","CBJ","R","R",1989-06-05,27,76,199.18,2.62,57.4,131,15,1,21,199,23,7,1,0
"Cam Atkinson","CAM.ATKINSON","17-18","CBJ","R","R",1989-06-05,28,63,173.17,2.75,58.55,93,14,2,20,169,24,5,0,0
"Cam Atkinson","CAM.ATKINSON","18-19","CBJ","R","R",1989-06-05,29,76,210.45,2.77,58.14,108,23,0,30,201,31,2,0,0
"Cam Atkinson","CAM.ATKINSON","19-20","CBJ","R","R",1989-06-05,30,44,94.63,2.15,43.19,43,9,1,35,72,16,3,2,0
"Cam Barker","CAM.BARKER","07-08","CHI","D","L",1986-04-04,21,45,120.63,2.68,37.7,54,20,2,58,82,38,11,0,0
"Cam Barker","CAM.BARKER","08-09","CHI","D","L",1986-04-04,22,68,219.17,3.22,49.21,133,23,6,44,216,35,10,0,0
"Cam Barker","CAM.BARKER","09-10","CHI","D","L",1986-04-04,23,51,92.65,1.82,35.76,49,11,2,47,65,16,2,0,0
"Cam Barker","CAM.BARKER","10-11","MIN","D","L",1986-04-04,24,50,70.5,1.41,25.89,25,8,4,68,37,14,7,0,0
"Cam Barker","CAM.BARKER","11-12","EDM","D","L",1986-04-04,25,24,55.93,2.33,41.89,19,5,2,32,29,10,4,0,0
"Cam Fowler","CAM.FOWLER","10-11","ANA","D","L",1991-12-05,18,74,274.47,3.71,69.1,130,24,7,29,249,51,13,2,0
"Cam Fowler","CAM.FOWLER","11-12","ANA","D","L",1991-12-05,19,81,289.73,3.58,68.79,122,32,2,39,261,62,6,0,0
"Cam Fowler","CAM.FOWLER","12-13","ANA","D","L",1991-12-05,20,36,89.25,2.48,54.74,37,12,0,17,78,21,1,1,0
"Cam Fowler","CAM.FOWLER","13-14","ANA","D","L",1991-12-05,21,70,223.43,3.19,58.61,105,30,1,48,212,55,9,3,0
"Cam Fowler","CAM.FOWLER","14-15","ANA","D","L",1991-12-05,22,76,187.28,2.46,50.52,97,24,4,58,158,38,15,3,0
"Cam Fowler","CAM.FOWLER","15-16","ANA","D","L",1991-12-05,23,66,191.93,2.91,60.02,106,26,3,29,188,44,11,3,0
"Cam Fowler","CAM.FOWLER","16-17","ANA","D","L",1991-12-05,24,78,235.5,3.02,60.73,118,25,4,45,230,46,16,7,0
"Cam Fowler","CAM.FOWLER","17-18","ANA","D","L",1991-12-05,25,66,162.02,2.45,57.22,71,24,0,32,143,34,3,1,0
"Cam Fowler","CAM.FOWLER","18-19","ANA","D","L",1991-12-05,26,59,140.7,2.38,58.46,63,18,4,29,128,32,10,3,0
"Cam Fowler","CAM.FOWLER","19-20","ANA","D","L",1991-12-05,27,58,144.6,2.49,56.01,71,18,2,34,132,24,4,1,0
"Carl Gunnarsson","CARL.GUNNARSSON","09-10","TOR","D","L",1986-11-09,22,43,78.82,1.83,27.12,30,17,5,55,49,25,7,0,0
"Carl Gunnarsson","CARL.GUNNARSSON","10-11","TOR","D","L",1986-11-09,23,68,87.65,1.29,20.49,29,9,5,70,55,18,10,1,0
"Carl Gunnarsson","CARL.GUNNARSSON","11-12","TOR","D","L",1986-11-09,24,73,90.83,1.24,23.86,35,17,2,79,58,27,6,1,0
"Carl Soderberg","CARL.SODERBERG","13-14","BOS","C","L",1985-10-12,27,70,130,1.86,41.62,69,16,3,55,118,26,6,1,0
"Carl Soderberg","CARL.SODERBERG","14-15","BOS","C","L",1985-10-12,28,78,162.33,2.08,45.3,82,20,3,70,146,41,7,2,0
"Carl Soderberg","CARL.SODERBERG","15-16","COL","C","L",1985-10-12,29,80,180.48,2.26,44,82,12,6,80,146,25,10,2,0
"Carl Soderberg","CARL.SODERBERG","16-17","COL","C","L",1985-10-12,30,76,77,1.01,20.48,31,7,7,51,44,12,13,2,0
"Carl Soderberg","CARL.SODERBERG","17-18","COL","C","L",1985-10-12,31,76,143.08,1.88,31.61,60,16,6,96,81,29,8,2,0
"Carl Soderberg","CARL.SODERBERG","18-19","COL","C","L",1985-10-12,32,82,139.2,1.7,30.14,56,16,7,119,84,31,15,6,0
"Carl Soderberg","CARL.SODERBERG","19-20","ARI","C","L",1985-10-12,33,68,144.8,2.13,41.18,49,13,2,106,68,25,6,2,0
"Carlo Colaiacovo","CARLO.COLAIACOVO","08-09","STL","D","L",1983-01-27,25,62,231.28,3.73,58.03,130,29,3,47,216,44,4,0,0
"Carlo Colaiacovo","CARLO.COLAIACOVO","09-10","STL","D","L",1983-01-27,26,67,196.05,2.93,47.51,96,23,1,68,167,40,3,0,0
"Carlo Colaiacovo","CARLO.COLAIACOVO","10-11","STL","D","L",1983-01-27,27,65,175.47,2.7,49.31,83,21,3,60,152,33,8,0,0
"Carlo Colaiacovo","CARLO.COLAIACOVO","11-12","STL","D","L",1983-01-27,28,64,128.8,2.01,42.63,61,25,3,78,97,28,6,2,0
"Casey Mittelstadt","CASEY.MITTELSTADT","18-19","BUF","C","L",1998-11-22,19,76,130.25,1.71,36.21,67,13,2,54,110,17,4,0,0
"Casey Mittelstadt","CASEY.MITTELSTADT","19-20","BUF","C","L",1998-11-22,20,31,54.23,1.75,32.61,18,7,2,46,27,10,3,2,0
"Chad Larose","CHAD.LAROSE","11-12","CAR","R","R",1982-03-27,29,67,126.67,1.89,34.11,65,12,2,79,86,22,2,0,0
"Charles Hudon","CHARLES.HUDON","17-18","MTL","L","L",1994-06-23,23,70,104.22,1.49,31.21,51,14,5,69,70,19,6,1,0
"Charlie Coyle","CHARLIE.COYLE","13-14","MIN","C","R",1992-03-02,21,69,156.32,2.27,45,80,16,3,64,113,36,8,0,0
"Charlie Coyle","CHARLIE.COYLE","14-15","MIN","C","R",1992-03-02,22,80,104.32,1.3,25.06,36,8,3,91,65,20,7,0,0
"Charlie Coyle","CHARLIE.COYLE","15-16","MIN","C","R",1992-03-02,23,80,151.82,1.9,35.53,76,16,9,55,134,25,13,0,0
"Charlie Coyle","CHARLIE.COYLE","16-17","MIN","C","R",1992-03-02,24,82,168.65,2.06,44.62,87,17,0,59,139,27,2,0,0
"Charlie Coyle","CHARLIE.COYLE","17-18","MIN","C","R",1992-03-02,25,65,86.98,1.34,29.12,42,7,0,54,65,14,1,1,0
"Charlie Coyle","CHARLIE.COYLE","18-19","MIN","C","R",1992-03-02,26,57,113.93,2,39.24,50,18,4,49,81,30,7,1,0
"Charlie Coyle","CHARLIE.COYLE","19-20","BOS","C","R",1992-03-02,27,70,130.87,1.87,36.8,39,18,4,93,87,21,11,2,0
"Charlie McAvoy","CHARLIE.MCAVOY","17-18","BOS","D","R",1997-12-21,19,63,123.12,1.95,37.73,45,16,5,73,90,33,13,5,0
"Charlie McAvoy","CHARLIE.MCAVOY","18-19","BOS","D","R",1997-12-21,20,54,82.47,1.53,34.72,20,13,5,62,40,22,7,1,0
"Charlie McAvoy","CHARLIE.MCAVOY","19-20","BOS","D","R",1997-12-21,21,67,90.68,1.35,26.57,26,21,5,86,49,25,8,1,0
"Chris Butler","CHRIS.BUTLER","09-10","BUF","D","L",1986-10-27,22,59,170.68,2.89,48.99,83,16,6,42,149,30,9,1,0
"Chris Butler","CHRIS.BUTLER","10-11","BUF","D","L",1986-10-27,23,49,59.07,1.21,24.74,23,9,7,32,45,11,8,0,0
"Chris Campoli","CHRIS.CAMPOLI","07-08","NYI","D","L",1984-07-09,23,46,165.18,3.59,58.66,57,26,4,28,114,51,8,1,0
"Chris Campoli","CHRIS.CAMPOLI","08-09","NYI","D","L",1984-07-09,24,51,107.62,2.11,34.31,34,20,4,75,62,36,8,2,0
"Chris Campoli","CHRIS.CAMPOLI","08-09","OTT","D","L",1984-07-09,24,25,72.67,2.91,48.66,32,11,0,28,60,14,2,0,0
"Chris Campoli","CHRIS.CAMPOLI","09-10","OTT","D","L",1984-07-09,25,65,134.17,2.06,37.05,42,15,7,85,64,32,9,0,0
"Chris Campoli","CHRIS.CAMPOLI","10-11","OTT","D","L",1984-07-09,26,58,72.85,1.26,23.89,33,16,4,57,46,28,8,1,0
"Chris Campoli","CHRIS.CAMPOLI","11-12","MTL","D","L",1984-07-09,27,43,85.65,1.99,34.5,24,15,3,65,40,20,5,0,0
"Chris Clark","CHRIS.CLARK","07-08","WSH","R","R",1976-03-08,31,18,53.22,2.96,43.67,20,11,1,22,41,18,4,0,0
"Chris Drury","CHRIS.DRURY","07-08","NYR","C","R",1976-08-20,31,82,284.77,3.47,51.77,112,52,9,103,194,84,18,4,0
"Chris Drury","CHRIS.DRURY","08-09","NYR","C","R",1976-08-20,32,81,256.23,3.16,49.82,131,38,2,73,216,53,6,2,0
"Chris Drury","CHRIS.DRURY","09-10","NYR","C","R",1976-08-20,33,77,146.22,1.9,33.9,68,16,7,59,100,34,15,4,0
"Chris Gratton","CHRIS.GRATTON","07-08","T.B","C","L",1975-07-05,32,59,104.27,1.77,31.5,50,31,5,41,77,40,9,4,0
"Chris Higgins","CHRIS.HIGGINS","07-08","MTL","C/L","L",1983-06-02,24,82,252.02,3.07,45.37,99,64,9,94,160,91,16,0,0
"Chris Higgins","CHRIS.HIGGINS","08-09","MTL","L","L",1983-06-02,25,56,119.68,2.14,32.92,66,18,2,52,100,30,7,3,0
"Chris Higgins","CHRIS.HIGGINS","09-10","NYR","L","L",1983-06-02,26,55,95.05,1.73,29.74,34,16,4,62,50,31,4,0,0
"Chris Higgins","CHRIS.HIGGINS","10-11","FLA","L","L",1983-06-02,27,48,68.1,1.42,25.96,38,12,4,43,49,18,6,2,0
"Chris Higgins","CHRIS.HIGGINS","11-12","VAN","L","L",1983-06-02,28,68,116.07,1.71,30.92,45,15,3,101,70,24,6,1,0
"Chris Higgins","CHRIS.HIGGINS","13-14","VAN","L","L",1983-06-02,30,76,127.15,1.67,31.88,64,17,7,85,90,22,16,3,0
"Chris Higgins","CHRIS.HIGGINS","14-15","VAN","L","L",1983-06-02,31,73,128.23,1.76,36.24,61,9,6,86,81,18,13,1,0
"Chris Kreider","CHRIS.KREIDER","13-14","NYR","C","L",1991-04-30,22,65,141.15,2.17,42.31,85,25,6,56,128,37,16,7,0
"Chris Kreider","CHRIS.KREIDER","14-15","NYR","C","L",1991-04-30,23,76,147.95,1.95,41.51,75,19,8,96,108,33,14,2,0
"Chris Kreider","CHRIS.KREIDER","15-16","NYR","C","L",1991-04-30,24,76,183.43,2.41,53.26,93,14,5,61,150,30,17,8,1
"Chris Kreider","CHRIS.KREIDER","16-17","NYR","C","L",1991-04-30,25,71,187.25,2.64,52.34,118,24,4,55,177,38,11,2,0
"Chris Kreider","CHRIS.KREIDER","17-18","NYR","C","L",1991-04-30,26,57,144.57,2.54,54.3,93,10,2,38,140,20,8,3,0
"Chris Kreider","CHRIS.KREIDER","18-19","NYR","C","L",1991-04-30,27,75,198.62,2.65,58.54,115,20,2,27,185,33,9,5,0
"Chris Kreider","CHRIS.KREIDER","19-20","NYR","C","L",1991-04-30,28,62,202.17,3.26,64.72,113,15,2,26,197,20,11,3,0
"Chris Kunitz","CHRIS.KUNITZ","07-08","ANA","L","L",1979-09-26,27,81,243.17,3,46.04,103,69,4,89,171,101,8,1,0
"Chris Kunitz","CHRIS.KUNITZ","08-09","ANA","L","L",1979-09-26,28,62,92.27,1.49,26.56,30,16,3,67,53,25,3,0,0
"Chris Kunitz","CHRIS.KUNITZ","08-09","PIT","L","L",1979-09-26,28,20,78.08,3.9,58.87,52,6,2,9,84,11,6,1,0
"Chris Kunitz","CHRIS.KUNITZ","09-10","PIT","L","L",1979-09-26,29,49,105.12,2.15,36.24,56,12,3,51,76,23,5,2,0
"Chris Kunitz","CHRIS.KUNITZ","10-11","PIT","L","L",1979-09-26,30,66,256.58,3.89,62.67,129,24,3,39,228,49,14,1,0
"Chris Kunitz","CHRIS.KUNITZ","11-12","PIT","L","L",1979-09-26,31,80,266.57,3.33,60.78,130,26,3,28,273,57,9,0,0
"Chris Kunitz","CHRIS.KUNITZ","12-13","PIT","L","L",1979-09-26,32,47,166.22,3.54,66.55,88,23,0,11,162,43,8,4,0
"Chris Kunitz","CHRIS.KUNITZ","13-14","PIT","L","L",1979-09-26,33,78,276.12,3.54,67.73,166,17,2,19,309,45,17,6,0
"Chris Kunitz","CHRIS.KUNITZ","14-15","PIT","L","L",1979-09-26,34,70,221.75,3.17,58.56,123,15,3,34,228,29,8,1,0
"Chris Kunitz","CHRIS.KUNITZ","15-16","PIT","L","L",1979-09-26,35,80,163.3,2.04,41.01,77,23,6,87,120,37,10,2,0
"Chris Kunitz","CHRIS.KUNITZ","16-17","PIT","L","L",1979-09-26,36,68,110.68,1.63,31.53,44,17,5,75,71,22,12,2,0
"Chris Neil","CHRIS.NEIL","07-08","OTT","R","R",1979-06-18,28,67,94.27,1.41,22.49,37,17,3,69,60,29,6,0,0
