,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
24,penalty,Delaying Game - Puck over glass,Patrik Laine,,[-50. -41.],1,15:25,WPG,VGK,VGK,54,WPG,52,0,1,8479339,,Patrik Laine Delaying Game - Puck over glass
40,penalty,Holding the stick,Jon Merrill,Patrik Laine,[84. -2.],1,12:25,VGK,WPG,VGK,54,WPG,52,2,1,8475750,8479339.0,Jon Merrill Holding the stick against Patrik Laine
43,penalty,Hi-sticking,Blake Wheeler,Brayden McNabb,[84. -9.],1,12:08,WPG,VGK,VGK,54,WPG,52,2,1,8471218,8475188.0,Blake Wheeler Hi-sticking against Brayden McNabb
102,penalty,Fighting,Adam Lowry,Ryan Reaves,[20. 22.],2,17:46,WPG,VGK,VGK,54,WPG,52,3,1,8476392,8471817.0,Adam Lowry Fighting against Ryan Reaves
103,penalty,Fighting,Ryan Reaves,Adam Lowry,[20. 22.],2,17:46,VGK,WPG,VGK,54,WPG,52,3,1,8471817,8476392.0,Ryan Reaves Fighting against Adam Lowry
150,penalty,Tripping,Dmitry Kulikov,Jonathan Marchessault,[ 89. -33.],2,08:36,WPG,VGK,VGK,54,WPG,52,3,1,8475179,8476539.0,Dmitry Kulikov Tripping against Jonathan Marchessault
182,penalty,Tripping,Shea Theodore,Bryan Little,[-89. -26.],2,00:53,VGK,WPG,VGK,54,WPG,52,3,1,8477447,8473412.0,Shea Theodore Tripping against Bryan Little
206,penalty,Interference,Nick Holden,Andrew Copp,[90. -5.],3,15:17,VGK,WPG,VGK,54,WPG,52,3,1,8474207,8477429.0,Nick Holden Interference against Andrew Copp
232,penalty,Hooking,Max Pacioretty,Nikolaj Ehlers,[ 63. -15.],3,10:13,VGK,WPG,VGK,54,WPG,52,3,1,8474157,8477940.0,Max Pacioretty Hooking against Nikolaj Ehlers
10,penalty,Hooking,Josh Anderson,Paul Stastny,[-93.  28.],1,18:02,CBJ,VGK,CBJ,29,VGK,54,0,0,8476981,8471669.0,Josh Anderson Hooking against Paul Stastny
27,penalty,Slashing,Ryan Reaves,Dean Kukan,[-22.  37.],1,12:16,VGK,CBJ,CBJ,29,VGK,54,0,0,8471817,8478567.0,Ryan Reaves Slashing against Dean Kukan
66,penalty,Missing key [PD_151],Sonny Milano,,[-20.  42.],1,00:45,CBJ,VGK,CBJ,29,VGK,54,0,1,8477947,,Delaying Game - Unsucc. chlg served by Sonny Milano
88,penalty,Hooking,Tomas Nosek,Sonny Milano,[-98.   1.],2,13:35,VGK,CBJ,CBJ,29,VGK,54,1,1,8477931,8477947.0,Tomas Nosek Hooking against Sonny Milano
104,penalty,Interference - Goalkeeper,Nicolas Roy,Joonas Korpisalo,[84.  2.],2,09:33,VGK,CBJ,CBJ,29,VGK,54,1,2,8478462,8476914.0,Nicolas Roy Interference - Goalkeeper against Joonas Korpisalo
135,penalty,Slashing,Gustav Nyquist,Jon Merrill,[-80.  -5.],2,00:53,CBJ,VGK,CBJ,29,VGK,54,1,2,8474679,8475750.0,Gustav Nyquist Slashing against Jon Merrill
179,penalty,Hi-sticking,Jon Merrill,Oliver Bjorkstrand,[70. 30.],3,06:54,VGK,CBJ,CBJ,29,VGK,54,1,2,8475750,8477416.0,Jon Merrill Hi-sticking against Oliver Bjorkstrand
4,penalty,Interference,Nicolas Hague,Kasperi Kapanen,[-31.  40.],1,19:34,VGK,TOR,TOR,10,VGK,54,0,0,8479980,8477953.0,Nicolas Hague Interference against Kasperi Kapanen
74,penalty,Hooking,Paul Stastny,Mitchell Marner,[-31. -39.],1,06:12,VGK,TOR,TOR,10,VGK,54,0,0,8471669,8478483.0,Paul Stastny Hooking against Mitchell Marner
84,penalty,Hi-sticking,Dmytro Timashov,Nicolas Hague,[ 8. 41.],1,03:14,TOR,VGK,TOR,10,VGK,54,0,0,8478857,8479980.0,Dmytro Timashov Hi-sticking against Nicolas Hague
109,penalty,Holding,William Nylander,Reilly Smith,[-56. -35.],2,16:51,TOR,VGK,TOR,10,VGK,54,0,0,8477939,8475191.0,William Nylander Holding against Reilly Smith
149,penalty,Hooking,Brayden McNabb,Mitchell Marner,[60.  0.],2,08:49,VGK,TOR,TOR,10,VGK,54,0,0,8475188,8478483.0,Brayden McNabb Hooking against Mitchell Marner
174,penalty,Hooking,Nick Holden,John Tavares,[86. 11.],2,03:48,VGK,TOR,TOR,10,VGK,54,0,0,8474207,8475166.0,Nick Holden Hooking against John Tavares
197,penalty,Tripping,Paul Stastny,Jake Muzzin,[66. -2.],3,18:27,VGK,TOR,TOR,10,VGK,54,0,0,8471669,8474162.0,Paul Stastny Tripping against Jake Muzzin
214,penalty,Interference,Justin Holl,William Carrier,[ 71. -35.],3,15:40,TOR,VGK,TOR,10,VGK,54,0,1,8475718,8477478.0,Justin Holl Interference against William Carrier
